student_id,gender,college,level,Fall,Spring,Fall_Spring_Change
2020-1,F,STC,Se,66.8,58.24,-8.559999999999995
2020-2,F,STM,Se,104.67,151.9,47.230000000000004
2020-3,F,STC,Se,46.17,16.56,-29.610000000000003
2020-4,F,STC,Se,58.68,73.77,15.089999999999996
2020-5,F,STM,Se,99.73,108.78,9.049999999999997
2020-6,F,STL,Se,75.71,82.39,6.680000000000007
2020-7,F,STL,Se,86.94,76.41,-10.530000000000001
2020-8,F,STM,Se,68.13,39.52,-28.609999999999992
2020-9,F,STL,Se,122.2,114.38,-7.820000000000007
2020-10,F,STB,Se,131.64,148.92,17.28
2020-11,F,STL,Se,41.38,66.41,25.029999999999994
2020-12,F,STL,Se,87.63,100.79,13.16000000000001
2020-13,F,STL,Se,60.96,92.16,31.199999999999996
2020-14,F,STB,Se,134.64,160.59,25.950000000000017
2020-15,F,STM,Se,73.03,112.06,39.03
2020-16,F,STC,Se,86.0,81.53,-4.469999999999999
2020-17,F,STL,Se,86.78,97.09,10.310000000000002
2020-18,F,STC,Se,85.76,89.53,3.769999999999996
2020-19,F,STC,Se,107.2,110.81,3.6099999999999994
2020-20,F,STM,Se,56.6,100.93,44.330000000000005
2020-21,F,STM,Se,98.11,96.77,-1.3400000000000034
2020-22,F,STC,Se,93.33,91.74,-1.5900000000000034
2020-23,F,STM,Se,99.29,129.26,29.969999999999985
2020-24,F,STB,Se,92.57,93.9,1.3300000000000125
2020-25,F,STB,Se,88.8,106.55,17.75
2020-26,F,STB,Se,97.09,150.09,53.0
2020-27,F,STC,Se,92.17,91.05,-1.1200000000000045
2020-28,F,STB,Se,35.95,65.9,29.950000000000003
2020-29,F,STL,Se,103.06,120.07,17.00999999999999
2020-30,F,STM,Se,113.98,105.63,-8.350000000000009
2020-31,F,STM,Se,102.13,126.75,24.620000000000005
2020-32,F,STL,Se,126.03,161.43,35.400000000000006
2020-33,F,STL,Se,149.28,171.58,22.30000000000001
2020-34,F,STM,Se,99.99,116.4,16.41000000000001
2020-35,F,STB,Se,59.94,55.46,-4.479999999999997
2020-36,F,STB,Se,65.43,90.39,24.959999999999994
2020-37,F,STC,Se,88.11,127.86,39.75
2020-38,F,STB,Se,79.61,106.58,26.97
2020-39,F,STC,Se,47.29,71.02,23.729999999999997
2020-40,F,STB,Se,63.33,97.59,34.260000000000005
2020-41,F,STB,Se,57.82,74.61,16.79
2020-42,F,STB,Se,47.84,78.23,30.39
2020-43,F,STL,Se,58.24,108.22,49.98
2020-44,F,STM,Se,79.7,56.26,-23.440000000000005
2020-45,F,STC,Se,84.2,79.53,-4.670000000000002
2020-46,F,STM,Se,105.02,127.46,22.439999999999998
2020-47,F,STL,Se,88.83,110.75,21.92
2020-48,F,STL,Se,84.23,83.46,-0.7700000000000102
2020-49,F,STL,Se,42.43,82.98,40.550000000000004
2020-50,F,STB,Se,61.25,70.57,9.319999999999993
2020-51,F,STM,Se,122.27,139.64,17.36999999999999
2020-52,F,STL,Se,100.66,154.92,54.25999999999999
2020-53,F,STB,Se,85.49,48.77,-36.71999999999999
2020-54,F,STC,Se,84.82,131.52,46.70000000000002
2020-55,F,STB,Se,77.33,80.55,3.219999999999999
2020-56,F,STM,Se,75.52,95.31,19.790000000000006
2020-57,F,STM,Se,31.45,49.18,17.73
2020-58,F,STC,Se,112.17,115.27,3.0999999999999943
2020-59,F,STM,Se,86.9,68.44,-18.460000000000008
2020-60,F,STL,Se,55.01,84.69,29.68
2020-61,F,STB,Se,43.39,43.58,0.18999999999999773
2020-62,F,STL,Se,100.9,92.24,-8.66000000000001
2020-63,F,STM,Se,82.92,92.34,9.420000000000002
2020-64,F,STC,Se,82.56,77.3,-5.260000000000005
2020-65,F,STM,Se,89.4,158.55,69.15
2020-66,F,STB,Se,79.34,87.43,8.090000000000003
2020-67,F,STM,Se,95.0,89.29,-5.709999999999994
2020-68,F,STM,Se,99.03,147.28,48.25
2020-69,F,STB,Se,69.97,80.99,11.019999999999996
2020-70,F,STC,Se,128.02,142.66,14.639999999999986
2020-71,F,STL,Se,126.72,110.77,-15.950000000000003
2020-72,F,STM,Se,72.17,144.88,72.71
2020-73,F,STM,Se,64.1,133.33,69.23000000000002
2020-74,F,STB,Se,77.75,39.6,-38.15
2020-75,F,STC,Se,61.84,73.65,11.810000000000002
2020-76,F,STM,Se,90.37,119.59,29.22
2020-77,F,STL,Se,106.55,167.5,60.95
2020-78,F,STL,Se,90.75,68.89,-21.86
2020-79,F,STL,Se,19.38,34.54,15.16
2020-80,F,STM,Se,87.53,102.97,15.439999999999998
2020-81,F,STM,Se,99.84,114.54,14.700000000000003
2020-82,F,STL,Se,96.64,88.74,-7.900000000000006
2020-83,F,STB,Se,125.42,138.91,13.489999999999995
2020-84,F,STM,Se,40.25,58.89,18.64
2020-85,F,STC,Se,79.59,98.75,19.159999999999997
2020-86,F,STM,Se,56.74,40.68,-16.060000000000002
2020-87,F,STB,Se,107.79,106.05,-1.740000000000009
2020-88,F,STC,Se,104.98,130.01,25.029999999999987
2020-89,F,STB,Se,48.9,121.13,72.22999999999999
2020-90,F,STC,Se,109.48,133.13,23.64999999999999
2020-91,F,STC,Se,95.07,93.71,-1.3599999999999994
2020-92,F,STB,Se,84.43,115.46,31.029999999999987
2020-93,F,STB,Se,66.71,59.16,-7.549999999999997
2020-94,F,STL,Se,123.87,139.67,15.799999999999983
2020-95,F,STM,Se,116.11,152.64,36.52999999999999
2020-96,F,STM,Se,76.81,113.07,36.25999999999999
2020-97,F,STB,Se,96.15,118.49,22.33999999999999
2020-98,F,STC,Se,109.53,138.53,29.0
2020-99,F,STC,Se,45.41,56.75,11.340000000000003
2020-100,F,STL,Se,87.04,122.51,35.47
2020-101,F,STC,Se,102.57,94.86,-7.709999999999994
2020-102,F,STB,Se,81.33,94.28,12.950000000000003
2020-103,F,STM,Se,107.04,151.57,44.52999999999999
2020-104,F,STC,Se,78.65,138.67,60.01999999999998
2020-105,F,STM,Se,83.21,138.88,55.67
2020-106,F,STM,Se,69.72,72.5,2.780000000000001
2020-107,F,STM,Se,91.7,121.34,29.64
2020-108,F,STC,Se,92.97,127.08,34.11
2020-109,F,STM,Se,114.83,125.65,10.820000000000007
2020-110,F,STM,Se,48.07,100.13,52.059999999999995
2020-111,F,STC,Se,75.11,92.72,17.61
2020-112,F,STB,Se,85.17,73.54,-11.629999999999995
2020-113,F,STM,Se,113.39,123.96,10.569999999999993
2020-114,F,STM,Se,90.0,83.5,-6.5
2020-115,F,STB,Se,123.8,148.51,24.709999999999994
2020-116,F,STB,Se,87.64,88.04,0.4000000000000057
2020-117,F,STC,Se,98.37,147.08,48.71000000000001
2020-118,F,STC,Se,48.36,47.11,-1.25
2020-119,F,STM,Se,151.06,164.01,12.949999999999989
2020-120,F,STM,Se,71.98,44.17,-27.810000000000002
