starting_year,weekday,level,amount
2023,We,Fr,13.36
2023,Tu,Se,12.22
2023,We,Se,23.1
2023,Su,Fr,18.78
2023,Tu,Fr,11.36
2023,Mo,Fr,2.14
2023,Fr,Fr,17.36
2023,Fr,Fr,11.97
2023,We,Fr,13.0
2023,We,Ju,5.71
2023,We,Ju,7.65
2023,Th,Fr,13.41
2023,We,So,14.96
2023,Mo,Fr,11.66
2023,Sa,Fr,14.2
2023,Fr,Fr,15.31
2023,We,Ju,2.17
2023,We,Fr,8.77
2023,Tu,Fr,9.52
2023,Tu,So,10.93
2023,Fr,Se,34.63
2023,Mo,Se,2.35
2023,Fr,Ju,26.21
2023,Tu,So,15.85
2023,Mo,Fr,11.48
2023,Tu,Fr,19.56
2023,Tu,Se,21.52
2023,We,Se,27.84
2023,Th,Ju,28.88
2023,Th,Fr,19.96
2023,We,Fr,1.45
2023,We,Fr,0.5
2023,Tu,Fr,14.38
2023,We,Fr,12.52
2023,Th,Se,12.86
2023,Fr,Fr,3.05
2023,Th,Fr,16.06
2023,Su,So,7.22
2023,We,Fr,4.52
2023,We,Fr,14.99
2023,Th,Ju,24.54
2023,Tu,Fr,2.88
2023,Mo,Fr,15.9
2023,Th,Fr,18.27
2023,Tu,Fr,6.54
2023,Th,Ju,20.48
2023,Sa,Fr,2.33
2023,We,So,15.03
2023,Mo,So,21.24
2023,Th,Fr,10.84
2023,We,Fr,7.02
2023,Fr,Fr,1.08
2023,We,Fr,14.29
2023,Mo,So,11.27
2023,We,So,22.21
2023,Tu,Fr,11.88
2023,Tu,Fr,3.53
2023,We,Fr,11.17
2023,Tu,Fr,17.46
2023,Mo,Fr,17.8
2023,We,So,25.15
2023,We,So,11.57
2023,We,Fr,4.98
2023,We,So,2.58
2023,Th,Ju,19.21
2023,Tu,Se,23.62
2023,Th,Fr,12.29
2023,Mo,Fr,13.88
2023,Tu,Fr,0.14
2023,We,Fr,17.39
2023,We,So,12.09
2023,Fr,Fr,10.22
2023,We,Fr,9.75
2023,Th,Fr,18.93
2023,We,So,12.36
2023,Tu,Fr,3.56
2023,Tu,Fr,0.58
2023,Th,So,13.41
2023,We,Fr,17.72
2023,Th,Ju,13.6
2023,Fr,So,10.77
2023,Th,Fr,11.61
2023,Fr,So,20.45
2023,Mo,Fr,8.1
2023,Sa,So,15.56
2023,Th,Fr,4.85
2023,Th,Fr,16.5
2023,We,So,18.1
2023,We,Fr,9.23
2023,We,So,6.23
2023,Tu,Fr,0.55
2023,We,Fr,8.46
2023,Th,Fr,7.06
2023,Th,Se,9.93
2023,Sa,Se,28.7
2023,We,Fr,3.65
2023,We,Ju,25.31
2023,We,Ju,2.8
2023,We,So,6.78
2023,Tu,Ju,5.86
2023,Tu,Se,33.43
2023,Th,Fr,4.08
2023,Th,Se,20.71
2023,We,Fr,4.64
2023,We,Se,38.22
2023,Th,Fr,13.95
2023,Fr,Ju,30.57
2023,Fr,Fr,4.62
2023,Mo,Fr,7.6
2023,Mo,Ju,8.58
2023,We,Fr,14.79
2023,We,So,10.75
2023,Tu,So,10.65
2023,Su,Fr,11.29
2023,Tu,Fr,4.94
2023,Fr,Ju,18.83
2023,Mo,Fr,18.6
2023,We,Fr,16.86
2023,Tu,Fr,14.37
2023,Fr,Fr,19.52
2023,Tu,Fr,14.14
2023,Fr,Se,15.19
2023,Tu,Fr,19.04
2023,Th,Fr,9.32
2023,Fr,Fr,14.42
2023,Tu,So,12.93
2023,We,Fr,11.95
2023,We,Fr,8.27
2023,Tu,Fr,1.59
2023,Tu,Fr,16.54
2023,Tu,Fr,0.51
2023,We,Fr,19.22
2023,We,Se,10.45
2023,Mo,Fr,4.73
2023,Sa,Fr,4.92
2023,Mo,So,25.74
