student_id,starting_year,season,score
2020-1,2023,Fall,88
2020-2,2023,Fall,37
2020-3,2023,Fall,54
2020-4,2023,Fall,56
2020-5,2023,Fall,77
2020-6,2023,Fall,88
2020-7,2023,Fall,72
2020-8,2023,Fall,77
2020-9,2023,Fall,65
2020-10,2023,Fall,69
2020-11,2023,Fall,92
2020-12,2023,Fall,70
2020-13,2023,Fall,51
2020-14,2023,Fall,71
2020-15,2023,Fall,80
2020-16,2023,Fall,73
2020-17,2023,Fall,85
2020-18,2023,Fall,51
2020-19,2023,Fall,49
2020-20,2023,Fall,76
2020-21,2023,Fall,68
2020-22,2023,Fall,79
2020-23,2023,Fall,57
2020-24,2023,Fall,68
2020-25,2023,Fall,76
2020-26,2023,Fall,87
2020-27,2023,Fall,46
2020-28,2023,Fall,80
2020-29,2023,Fall,73
2020-30,2023,Fall,66
2020-31,2023,Fall,65
2020-32,2023,Fall,75
2020-33,2023,Fall,96
2020-34,2023,Fall,74
2020-35,2023,Fall,100
2020-36,2023,Fall,68
2020-37,2023,Fall,61
2020-38,2023,Fall,64
2020-39,2023,Fall,60
2020-40,2023,Fall,86
2020-41,2023,Fall,64
2020-42,2023,Fall,53
2020-43,2023,Fall,61
2020-44,2023,Fall,66
2020-45,2023,Fall,61
2020-46,2023,Fall,68
2020-47,2023,Fall,80
2020-48,2023,Fall,68
2020-49,2023,Fall,54
2020-50,2023,Fall,68
2020-51,2023,Fall,62
2020-52,2023,Fall,60
2020-53,2023,Fall,66
2020-54,2023,Fall,70
2020-55,2023,Fall,65
2020-56,2023,Fall,68
2020-57,2023,Fall,60
2020-58,2023,Fall,77
2020-59,2023,Fall,90
2020-60,2023,Fall,75
2020-61,2023,Fall,58
2020-62,2023,Fall,59
2020-63,2023,Fall,49
2020-64,2023,Fall,85
2020-65,2023,Fall,55
2020-66,2023,Fall,64
2020-67,2023,Fall,58
2020-68,2023,Fall,67
2020-69,2023,Fall,65
2020-70,2023,Fall,81
2020-71,2023,Fall,66
2020-72,2023,Fall,60
2020-73,2023,Fall,72
2020-74,2023,Fall,77
2020-75,2023,Fall,56
2020-76,2023,Fall,73
2020-77,2023,Fall,65
2020-78,2023,Fall,81
2020-79,2023,Fall,71
2020-80,2023,Fall,83
2020-81,2023,Fall,73
2020-82,2023,Fall,61
2020-83,2023,Fall,58
2020-84,2023,Fall,88
2020-85,2023,Fall,59
2020-86,2023,Fall,75
2020-87,2023,Fall,38
2020-88,2023,Fall,67
2020-89,2023,Fall,71
2020-90,2023,Fall,80
2020-91,2023,Fall,77
2020-92,2023,Fall,73
2020-93,2023,Fall,59
2020-94,2023,Fall,60
2020-95,2023,Fall,80
2020-96,2023,Fall,91
2020-97,2023,Fall,61
2020-98,2023,Fall,69
2020-99,2023,Fall,90
2020-100,2023,Fall,68
2020-101,2023,Fall,69
2020-102,2023,Fall,79
2020-103,2023,Fall,68
2020-104,2023,Fall,71
2020-105,2023,Fall,84
2020-106,2023,Fall,70
2020-107,2023,Fall,68
2020-108,2023,Fall,70
2020-109,2023,Fall,77
2020-110,2023,Fall,58
2020-111,2023,Fall,74
2020-112,2023,Fall,60
2020-113,2023,Fall,70
2020-114,2023,Fall,71
2020-115,2023,Fall,66
2020-116,2023,Fall,54
2020-117,2023,Fall,90
2020-118,2023,Fall,62
2020-119,2023,Fall,66
2020-120,2023,Fall,85
2020-121,2023,Fall,64
2020-122,2023,Fall,70
2020-123,2023,Fall,55
2020-124,2023,Fall,78
2020-125,2023,Fall,73
2020-126,2023,Fall,58
2020-127,2023,Fall,71
2020-128,2023,Fall,70
2020-129,2023,Fall,68
2020-130,2023,Fall,69
2020-131,2023,Fall,82
2020-132,2023,Fall,51
2020-133,2023,Fall,65
2020-134,2023,Fall,82
2020-135,2023,Fall,93
2020-136,2023,Fall,55
2020-137,2023,Fall,62
2020-138,2023,Fall,73
2020-139,2023,Fall,71
2020-140,2023,Fall,88
2020-141,2023,Fall,57
2020-142,2023,Fall,80
2020-143,2023,Fall,85
2020-144,2023,Fall,70
2020-145,2023,Fall,65
2020-146,2023,Fall,62
2020-147,2023,Fall,85
2020-148,2023,Fall,81
2020-149,2023,Fall,72
2020-150,2023,Fall,73
2020-151,2023,Fall,66
2020-152,2023,Fall,65
2020-153,2023,Fall,52
2020-154,2023,Fall,67
2020-155,2023,Fall,76
2020-156,2023,Fall,72
2020-157,2023,Fall,88
2020-158,2023,Fall,80
2020-159,2023,Fall,57
2020-160,2023,Fall,78
2020-161,2023,Fall,79
2020-162,2023,Fall,67
2020-163,2023,Fall,69
2020-164,2023,Fall,62
2020-165,2023,Fall,87
2020-166,2023,Fall,72
2020-167,2023,Fall,71
2020-168,2023,Fall,75
2020-169,2023,Fall,85
2020-170,2023,Fall,78
2020-171,2023,Fall,91
2020-172,2023,Fall,76
2020-173,2023,Fall,63
2020-174,2023,Fall,62
2020-175,2023,Fall,66
2020-176,2023,Fall,78
2020-177,2023,Fall,51
2020-178,2023,Fall,69
2020-179,2023,Fall,71
2020-180,2023,Fall,54
2020-181,2023,Fall,63
2020-182,2023,Fall,62
2020-183,2023,Fall,69
2020-184,2023,Fall,70
2020-185,2023,Fall,73
2020-186,2023,Fall,90
2020-187,2023,Fall,77
2020-188,2023,Fall,52
2020-189,2023,Fall,71
2020-190,2023,Fall,65
2020-191,2023,Fall,86
2020-192,2023,Fall,57
2020-193,2023,Fall,53
2020-194,2023,Fall,71
2020-195,2023,Fall,46
2020-196,2023,Fall,68
2020-197,2023,Fall,61
2020-198,2023,Fall,72
2020-199,2023,Fall,78
2020-200,2023,Fall,79
2020-201,2023,Fall,61
2020-202,2023,Fall,55
2020-203,2023,Fall,72
2020-204,2023,Fall,86
2020-205,2023,Fall,65
2020-206,2023,Fall,53
2020-207,2023,Fall,69
2020-208,2023,Fall,54
2020-209,2023,Fall,52
2020-210,2023,Fall,69
2020-211,2023,Fall,66
2020-212,2023,Fall,60
2020-213,2023,Fall,66
2020-214,2023,Fall,75
2020-215,2023,Fall,51
2020-216,2023,Fall,75
2020-217,2023,Fall,74
2020-218,2023,Fall,62
2020-219,2023,Fall,68
2020-220,2023,Fall,52
2020-221,2023,Fall,71
2020-222,2023,Fall,69
2020-223,2023,Fall,91
2020-224,2023,Fall,59
2020-225,2023,Fall,69
2020-226,2023,Fall,64
2020-227,2023,Fall,77
2020-228,2023,Fall,81
2020-229,2023,Fall,67
2020-230,2023,Fall,57
2020-231,2023,Fall,74
2020-232,2023,Fall,70
2020-233,2023,Fall,73
2020-234,2023,Fall,71
2020-235,2023,Fall,88
2020-236,2023,Fall,62
2020-237,2023,Fall,55
2020-238,2023,Fall,82
2020-239,2023,Fall,71
2020-240,2023,Fall,68
2020-241,2023,Fall,72
2020-242,2023,Fall,68
2020-243,2023,Fall,59
2020-244,2023,Fall,64
2020-245,2023,Fall,64
2020-246,2023,Fall,72
2020-247,2023,Fall,81
2020-248,2023,Fall,70
2020-249,2023,Fall,71
2020-250,2023,Fall,77
2020-251,2023,Fall,70
2020-252,2023,Fall,64
2020-253,2023,Fall,67
2020-254,2023,Fall,84
2020-255,2023,Fall,75
2020-256,2023,Fall,76
2020-257,2023,Fall,74
2020-258,2023,Fall,74
2020-259,2023,Fall,64
2020-260,2023,Fall,55
2020-261,2023,Fall,72
2020-262,2023,Fall,72
2020-263,2023,Fall,90
2020-264,2023,Fall,84
2020-265,2023,Fall,65
2020-266,2023,Fall,55
2020-267,2023,Fall,73
2020-268,2023,Fall,64
2020-269,2023,Fall,71
2020-270,2023,Fall,82
2020-271,2023,Fall,69
2020-272,2023,Fall,55
2020-273,2023,Fall,68
2020-274,2023,Fall,74
2020-275,2023,Fall,71
2020-276,2023,Fall,85
2020-277,2023,Fall,67
2020-278,2023,Fall,74
2020-279,2023,Fall,80
2020-280,2023,Fall,75
2020-281,2023,Fall,73
2020-282,2023,Fall,67
2020-283,2023,Fall,60
2020-284,2023,Fall,60
2020-285,2023,Fall,57
2020-286,2023,Fall,83
2020-287,2023,Fall,67
2020-288,2023,Fall,75
2020-289,2023,Fall,54
2020-290,2023,Fall,54
2020-291,2023,Fall,82
2020-292,2023,Fall,72
2020-293,2023,Fall,47
2020-294,2023,Fall,74
2020-295,2023,Fall,78
2020-296,2023,Fall,71
2020-297,2023,Fall,65
2020-298,2023,Fall,80
2020-299,2023,Fall,63
2020-300,2023,Fall,50
2020-301,2023,Fall,77
2020-302,2023,Fall,78
2020-303,2023,Fall,80
2020-304,2023,Fall,64
2020-305,2023,Fall,55
2020-306,2023,Fall,73
2020-307,2023,Fall,66
2020-308,2023,Fall,76
2020-309,2023,Fall,71
2020-310,2023,Fall,57
2020-311,2023,Fall,62
2020-312,2023,Fall,61
2020-313,2023,Fall,69
2020-314,2023,Fall,74
2020-315,2023,Fall,52
2020-316,2023,Fall,50
2020-317,2023,Fall,71
2020-318,2023,Fall,79
