Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2025-01-01,1,22:53,EST,Vrbl  5,10.00,Partly Cloudy,SCT055,39,19,,,45%,36,,30.03,1017.0,,,,2025-01-04,1,2025
2025-01-01,1,23:53,EST,NW  10  G 23,10.00,Overcast,OVC050,37.9,18,,,44%,32,,30.04,1017.4,,,,2025-01-04,1,2025
2025-01-02,2,00:53,EST,W  8  G 18,10.00,Mostly Cloudy,BKN060,36,15.1,41,36,42%,30,,30.06,1018.0,,,,2025-01-04,1,2025
2025-01-02,2,01:53,EST,NW  7  G 17,10.00,Overcast,OVC055,36,14,,,40%,31,,30.08,1018.8,,,,2025-01-04,1,2025
2025-01-02,2,02:53,EST,W  8,10.00,Overcast,OVC055,35.1,14,,,42%,29,,30.11,1019.7,,,,2025-01-04,1,2025
2025-01-02,2,03:53,EST,Calm,10.00,Overcast,OVC055,35.1,15.1,,,44%,,,30.1,1019.3,,,,2025-01-04,1,2025
2025-01-02,2,04:53,EST,Calm,10.00,Overcast,OVC055,33.1,16,,,49%,,,30.09,1019.4,,,,2025-01-04,1,2025
2025-01-02,2,05:53,EST,S  5,10.00,Overcast,OVC055,34,15.1,,,46%,30,,30.12,1020.1,,,,2025-01-04,1,2025
2025-01-02,2,06:53,EST,W  8,10.00,Mostly Cloudy,BKN050,33.1,16,37,30.9,49%,27,,30.14,1020.8,,,,2025-01-04,1,2025
2025-01-02,2,07:53,EST,Vrbl  5,10.00,Fair,CLR,34,16,,,48%,30,,30.17,1022.0,,,,2025-01-04,1,2025
2025-01-02,2,08:53,EST,NW  7,10.00,A Few Clouds,FEW050,35.1,15.1,,,44%,30,,30.2,1022.8,,,,2025-01-04,1,2025
2025-01-02,2,09:53,EST,SW  6,10.00,A Few Clouds,FEW050,35.1,18,,,50%,31,,30.21,1023.4,,,,2025-01-04,1,2025
2025-01-02,2,10:53,EST,Vrbl  3,10.00,Overcast,OVC050,36,17.1,,,46%,,,30.21,1023.4,,,,2025-01-04,1,2025
2025-01-02,2,11:53,EST,Vrbl  7,10.00,Fair,CLR,39,18,,,43%,35,,30.17,1021.8,,,,2025-01-04,1,2025
2025-01-02,2,12:53,EST,W  8  G 17,10.00,Fair,CLR,39.9,18,41,33.1,41%,35,,30.16,1021.5,,,,2025-01-04,1,2025
2025-01-02,2,13:53,EST,Vrbl  7,10.00,Fair,CLR,42.1,18,,,38%,38,,30.12,1020.2,,,,2025-01-04,1,2025
2025-01-02,2,14:53,EST,Vrbl  3,10.00,Fair,CLR,41,16,,,36%,,,30.11,1020.0,,,,2025-01-04,1,2025
2025-01-02,2,16:53,EST,Calm,10.00,Fair,CLR,41,15.1,,,35%,,,30.13,1020.5,,,,2025-01-04,1,2025
2025-01-02,2,17:53,EST,Calm,10.00,Fair,CLR,39,15.1,,,38%,,,30.14,1020.9,,,,2025-01-04,1,2025
