Concept,Group
Sex by Age,B01001
Sex by Age (White Alone),B01001A
Sex by Age (Black or African American Alone),B01001B
Sex by Age (American Indian and Alaska Native Alone),B01001C
Sex by Age (Asian Alone),B01001D
Sex by Age (Native Hawaiian and Other Pacific Islander Alone),B01001E
Sex by Age (Some Other Race Alone),B01001F
Sex by Age (Two or More Races),B01001G
"Sex by Age (White Alone, Not Hispanic or Latino)",B01001H
Sex by Age (Hispanic or Latino),B01001I
Median Age by Sex,B01002
Median Age by Sex (White Alone),B01002A
Median Age by Sex (Black or African American Alone),B01002B
Median Age by Sex (American Indian and Alaska Native Alone),B01002C
Median Age by Sex (Asian Alone),B01002D
Median Age by Sex (Native Hawaiian and Other Pacific Islander Alone),B01002E
Median Age by Sex (Some Other Race Alone),B01002F
Median Age by Sex (Two or More Races),B01002G
"Median Age by Sex (White Alone, Not Hispanic or Latino)",B01002H
Median Age by Sex (Hispanic or Latino),B01002I
Total Population,B01003
Race,B02001
White Alone or in Combination With One or More Other Races,B02008
Black or African American Alone or in Combination With One or More Other Races,B02009
American Indian and Alaska Native Alone or in Combination With One or More Other Races,B02010
Asian Alone or in Combination With One or More Other Races,B02011
Native Hawaiian and Other Pacific Islander Alone or in Combination With One or More Other Races,B02012
Some Other Race Alone or in Combination With One or More Other Races,B02013
American Indian and Alaska Native Alone for Selected Tribal Groupings,B02014
Asian Alone by Selected Groups,B02015
Native Hawaiian and Other Pacific Islander Alone by Selected Groups,B02016
American Indian and Alaska Native Alone or in Any Combination by Selected Tribal Groupings,B02017
Asian Alone or in Any Combination by Selected Groups,B02018
Native Hawaiian and Other Pacific Islander Alone or in Any Combination by Selected Groups,B02019
Hispanic or Latino Origin by Specific Origin,B03001
Hispanic or Latino Origin by Race,B03002
Hispanic or Latino Origin,B03003
People Reporting Single Ancestry,B04004
People Reporting Multiple Ancestry,B04005
People Reporting Ancestry,B04006
Ancestry,B04007
Nativity and Citizenship Status in the United States,B05001
Nativity and Citizenship Status in Puerto Rico,B05001PR
Place of Birth by Nativity and Citizenship Status,B05002
Sex by Age by Nativity and Citizenship Status,B05003
Sex by Age by Nativity and Citizenship Status (White Alone),B05003A
Sex by Age by Nativity and Citizenship Status (Black or African American Alone),B05003B
Sex by Age by Nativity and Citizenship Status (American Indian and Alaska Native Alone),B05003C
Sex by Age by Nativity and Citizenship Status (Asian Alone),B05003D
Sex by Age by Nativity and Citizenship Status (Native Hawaiian and Other Pacific Islander Alone),B05003E
Sex by Age by Nativity and Citizenship Status (Some Other Race Alone),B05003F
Sex by Age by Nativity and Citizenship Status (Two or More Races),B05003G
"Sex by Age by Nativity and Citizenship Status (White Alone, Not Hispanic or Latino)",B05003H
Sex by Age by Nativity and Citizenship Status (Hispanic or Latino),B05003I
Median Age by Nativity and Citizenship Status by Sex,B05004
Period of Entry by Nativity and Citizenship Status in the United States,B05005
Period of Entry by Nativity and Citizenship Status in Puerto Rico,B05005PR
Place of Birth for the Foreign-Born Population in the United States,B05006
Place of Birth for the Foreign-Born Population in Puerto Rico,B05006PR
Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,B05007
Sex by Place of Birth by Year of Entry for the Foreign-Born Population,B05008
Age and Nativity of Own Children Under 18 Years in Families and Subfamilies by Number and Nativity of Parents,B05009
Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Living Arrangements and Nativity of Parents,B05010
Period of Naturalization,B05011
