Year,NAME,state,county,Total_Population,Educational Attainment for the Population 25 Years and Over_Estimate!!Total: (B15003_001E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Bachelor's degree (B15003_022E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Master's degree (B15003_023E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Professional school degree (B15003_024E),Educational Attainment for the Population 25 Years and Over_Estimate!!Total:!!Doctorate degree (B15003_025E),Median_Earnings_for_Total_25plus_Population,Median_Earnings_Less_Than_HS,Median_Earnings_HS,Median_Earnings_Some_College,Median_Earnings_Bachelors_Degree,Median_Earnings_Postgraduate,Pct_With_Bachelors_Degree,State_Abbrev,Region
2023,"Autauga County, Alabama",01,001,59285,40767,6518,4006,599,407,47719,34865,37057,47667,58269,85027,28.28267961831874,AL,South
2023,"Baldwin County, Alabama",01,003,239945,171988,35348,14835,3843,2382,47748,33517,39002,41939,61119,72323,32.79763704444496,AL,South
2023,"Barbour County, Alabama",01,005,24757,17628,1179,559,193,90,34557,31197,31638,36667,56446,63134,11.464715225777173,AL,South
2023,"Bibb County, Alabama",01,007,22152,15931,1121,537,92,77,34001,24444,31422,37475,46250,63068,11.468206641139917,AL,South
2023,"Blount County, Alabama",01,009,59292,40991,4088,1843,287,168,42663,31836,36119,46369,57644,71716,15.57902954307043,AL,South
2023,"Bullock County, Alabama",01,011,10157,7378,493,117,54,0,31328,27839,32914,30904,31397,62361,8.999728923827595,AL,South
2023,"Butler County, Alabama",01,013,18807,13164,1046,581,154,31,36420,30893,33510,36535,52394,63409,13.764813126709207,AL,South
2023,"Calhoun County, Alabama",01,015,116141,78627,9842,4500,955,857,39654,28542,33000,40289,51187,62081,20.54510537092856,AL,South
2023,"Chambers County, Alabama",01,017,34450,24484,2386,921,174,90,38845,24605,34901,40921,43061,60570,14.585035124979578,AL,South
2023,"Cherokee County, Alabama",01,019,25224,18777,1726,894,254,120,42186,22426,35476,43503,54670,65821,15.945039143633169,AL,South
2023,"Chilton County, Alabama",01,021,45500,30747,2858,1614,144,72,44884,45714,41250,45556,51546,55267,15.24701596903763,AL,South
2023,"Choctaw County, Alabama",01,023,12525,8998,891,296,56,9,40933,24853,43561,35958,50641,53182,13.914203156256946,AL,South
2023,"Clarke County, Alabama",01,025,22802,15966,1545,714,179,25,40403,26075,35245,41895,51685,57794,15.426531379180759,AL,South
2023,"Clay County, Alabama",01,027,14188,10259,1154,316,93,0,43519,27109,31480,43606,60863,60000,15.235403060727167,AL,South
2023,"Cleburne County, Alabama",01,029,15254,10861,1201,647,103,27,44974,31442,44713,40871,60227,59696,18.211951017401713,AL,South
