NAME,county,state,Total_Pop_2009,Total_Pop_2011,Total_Pop_2013,Total_Pop_2015,Total_Pop_2016,Total_Pop_2021,Total_Pop_25_to_29_2009,Total_Pop_25_to_29_2011,Total_Pop_25_to_29_2013,Total_Pop_25_to_29_2015,Total_Pop_25_to_29_2016,Total_Pop_25_to_29_2021,2009-2021 Total_Pop Change,2009-2021 Total_Pop % Change,2009-2021 Total_Pop Change Rank,2009-2021 Total_Pop Change Percentile,2009-2021 Total_Pop % Change Rank,2009-2021 Total_Pop % Change Percentile,2011-2021 Total_Pop Change,2011-2021 Total_Pop % Change,2011-2021 Total_Pop Change Rank,2011-2021 Total_Pop Change Percentile,2011-2021 Total_Pop % Change Rank,2011-2021 Total_Pop % Change Percentile,2013-2021 Total_Pop Change,2013-2021 Total_Pop % Change,2013-2021 Total_Pop Change Rank,2013-2021 Total_Pop Change Percentile,2013-2021 Total_Pop % Change Rank,2013-2021 Total_Pop % Change Percentile,2015-2021 Total_Pop Change,2015-2021 Total_Pop % Change,2015-2021 Total_Pop Change Rank,2015-2021 Total_Pop Change Percentile,2015-2021 Total_Pop % Change Rank,2015-2021 Total_Pop % Change Percentile,2016-2021 Total_Pop Change,2016-2021 Total_Pop % Change,2016-2021 Total_Pop Change Rank,2016-2021 Total_Pop Change Percentile,2016-2021 Total_Pop % Change Rank,2016-2021 Total_Pop % Change Percentile,2009-2021 Total_Pop_25_to_29 Change,2009-2021 Total_Pop_25_to_29 % Change,2009-2021 Total_Pop_25_to_29 Change Rank,2009-2021 Total_Pop_25_to_29 Change Percentile,2009-2021 Total_Pop_25_to_29 % Change Rank,2009-2021 Total_Pop_25_to_29 % Change Percentile,2011-2021 Total_Pop_25_to_29 Change,2011-2021 Total_Pop_25_to_29 % Change,2011-2021 Total_Pop_25_to_29 Change Rank,2011-2021 Total_Pop_25_to_29 Change Percentile,2011-2021 Total_Pop_25_to_29 % Change Rank,2011-2021 Total_Pop_25_to_29 % Change Percentile,2013-2021 Total_Pop_25_to_29 Change,2013-2021 Total_Pop_25_to_29 % Change,2013-2021 Total_Pop_25_to_29 Change Rank,2013-2021 Total_Pop_25_to_29 Change Percentile,2013-2021 Total_Pop_25_to_29 % Change Rank,2013-2021 Total_Pop_25_to_29 % Change Percentile,2015-2021 Total_Pop_25_to_29 Change,2015-2021 Total_Pop_25_to_29 % Change,2015-2021 Total_Pop_25_to_29 Change Rank,2015-2021 Total_Pop_25_to_29 Change Percentile,2015-2021 Total_Pop_25_to_29 % Change Rank,2015-2021 Total_Pop_25_to_29 % Change Percentile,2016-2021 Total_Pop_25_to_29 Change,2016-2021 Total_Pop_25_to_29 % Change,2016-2021 Total_Pop_25_to_29 Change Rank,2016-2021 Total_Pop_25_to_29 Change Percentile,2016-2021 Total_Pop_25_to_29 % Change Rank,2016-2021 Total_Pop_25_to_29 % Change Percentile
"Abbeville County, South Carolina",001,45,25347.0,25515.0,25233.0,24997.0,24951.0,24374.0,1463.0,1239.0,1118.0,1191.0,1226.0,1292.0,-973.0,-3.8387185860259576,2627.0,16.262755102040817,2367.0,24.553571428571427,-1141.0,-4.471879286694103,2625.0,16.35320369780045,2309.0,26.426522154925085,-859.0,-3.4042721832520884,2521.0,19.694072657743785,2204.0,29.79604843849586,-623.0,-2.492299075889104,2451.0,21.999363260108247,2138.0,31.964342566061767,-577.0,-2.312532563825098,2482.0,21.012416427889207,2174.0,30.81821076090417,-171.0,-11.688311688311693,2629.0,16.198979591836736,2611.0,16.772959183673468,53.0,4.277643260694108,1523.0,51.48230793751992,1557.0,50.3984698756774,174.0,15.563506261180681,987.0,68.578712555768,617.0,80.36966220522626,101.0,8.480268681780023,1230.0,60.87233365170328,1119.0,64.40624005093919,66.0,5.38336052202284,1397.0,55.55555555555556,1357.0,56.82903533906399
"Acadia Parish, Louisiana",001,22,59616.0,61430.0,61847.0,62163.0,62372.0,58200.0,4123.0,4217.0,4172.0,4126.0,4240.0,3705.0,-1416.0,-2.375201288244766,2789.0,11.096938775510203,2158.0,31.21811224489796,-3230.0,-5.258017255412661,3018.0,3.825310806503028,2451.0,21.899904367229837,-3647.0,-5.896809869516706,3049.0,2.8680688336520075,2615.0,16.698534098151686,-3963.0,-6.375174943294237,3083.0,1.8783826806749442,2760.0,12.161731932505573,-4172.0,-6.68889886487527,3102.0,1.2734797835084368,2837.0,9.71028334925183,-418.0,-10.138248847926267,2936.0,6.409438775510204,2544.0,18.909438775510203,-512.0,-12.141332700972251,3083.0,1.7532674529805548,2749.0,12.40038253108065,-467.0,-11.193672099712371,3074.0,2.07138304652645,2748.0,12.460165710643722,-421.0,-10.20358700920989,3042.0,3.183699458771092,2747.0,12.575612862145814,-535.0,-12.617924528301883,3055.0,2.76981852913085,2812.0,10.506208213944603
"Accomack County, Virginia",001,51,38522.0,33701.0,33289.0,33115.0,33060.0,33388.0,2469.0,1842.0,1810.0,1669.0,1819.0,1907.0,-5134.0,-13.327449249779344,3091.0,1.4668367346938775,3032.0,3.3482142857142856,-313.0,-0.9287558232693338,1968.0,37.29678036340452,1700.0,45.839974497927955,99.0,0.297395536062961,1385.0,55.89547482472913,1457.0,53.60101975780752,273.0,0.8243998188132373,1244.0,60.42661572747533,1335.0,57.52944921999364,328.0,0.9921355111917718,1194.0,62.01846545686087,1321.0,57.97516714422159,-562.0,-22.762251923855814,3001.0,4.336734693877551,2908.0,7.302295918367347,65.0,3.5287730727470157,1447.0,53.90500478163851,1625.0,48.23079375199235,97.0,5.359116022099442,1260.0,59.87890376035692,1421.0,54.74824729126833,238.0,14.260035949670469,810.0,74.24387137854187,618.0,80.35657433938236,88.0,4.8378229796591565,1251.0,60.20375676536135,1426.0,54.63228271251194
"Ada County, Idaho",001,16,368791.0,388174.0,401673.0,417501.0,425798.0,485246.0,32200.0,29327.0,29494.0,30142.0,30646.0,33625.0,116455.0,31.577505958659515,53.0,98.34183673469387,81.0,97.44897959183673,97072.0,25.007342068247752,51.0,98.4061204972904,67.0,97.89607905642333,83573.0,20.80622795159246,49.0,98.47036328871893,62.0,98.05608667941364,67745.0,16.226308439979785,40.0,98.75835721107927,69.0,97.83508436803565,59448.0,13.961549842883247,40.0,98.75835721107927,68.0,97.86692136262337,1425.0,4.425465838509313,358.0,88.61607142857143,1660.0,47.098214285714285,4298.0,14.655436969345658,106.0,96.65285304430985,739.0,76.47433854000637,4131.0,14.006238556994631,90.0,97.16379859783302,712.0,77.34225621414915,3483.0,11.555304890186457,87.0,97.26201846545686,823.0,73.82999044890163,2979.0,9.720681328721525,77.0,97.58038841133397,869.0,72.36548869786692
"Adair County, Iowa",001,19,7555.0,7699.0,7588.0,7426.0,7330.0,7439.0,284.0,425.0,392.0,362.0,362.0,411.0,-116.0,-1.5354070152217125,1927.0,38.58418367346938,2023.0,35.52295918367347,-260.0,-3.377061956098193,1884.0,39.97449792795665,2119.0,32.48326426522155,-149.0,-1.9636267791249384,1734.0,44.773741236456345,1931.0,38.495857233906946,13.0,0.1750605978992681,1513.0,51.862464183381086,1493.0,52.49920407513531,109.0,1.4870395634379197,1409.0,55.17351162050302,1202.0,61.763769500159185,127.0,44.71830985915493,1236.0,60.618622448979586,361.0,88.5204081632653,-14.0,-3.294117647058825,2112.0,32.7064073956009,2238.0,28.689831048772714,19.0,4.846938775510212,1801.0,42.638623326959845,1478.0,52.93180369662205,49.0,13.53591160220995,1571.0,50.01591849729385,672.0,78.63737663164598,49.0,13.53591160220995,1529.0,51.353072269977716,588.0,81.31168417701369
"Adair County, Kentucky",001,21,17872.0,18613.0,18696.0,18852.0,19156.0,18832.0,1206.0,1223.0,1073.0,1047.0,1058.0,1099.0,960.0,5.3715308863026,1195.0,61.92602040816326,1070.0,65.91198979591837,219.0,1.1765970020953143,1329.0,57.66656040803315,1350.0,56.99713101689512,136.0,0.7274283269148585,1351.0,56.97896749521989,1382.0,55.9910771191842,-20.0,-0.10608953957139677,1565.0,50.206940464820114,1547.0,50.780006367398926,-324.0,-1.6913760701607883,2206.0,29.799426934097422,2030.0,35.40273798153454,-107.0,-8.872305140961856,2456.0,21.715561224489797,2481.0,20.918367346938776,-124.0,-10.13900245298447,2727.0,13.101689512272872,2660.0,15.23748804590373,26.0,2.423112767940361,1740.0,44.582536647546206,1749.0,44.295729764181004,52.0,4.966571155682908,1545.0,50.84368035657434,1482.0,52.849411015600126,41.0,3.875236294896034,1592.0,49.34734161095193,1531.0,51.28939828080229
"Adair County, Missouri",001,29,24801.0,25421.0,25573.0,25560.0,25547.0,25339.0,1003.0,1335.0,1395.0,1339.0,1415.0,1347.0,538.0,2.169267368251271,1369.0,56.37755102040817,1470.0,53.15688775510205,-82.0,-0.32256795562723983,1633.0,47.975773031558816,1596.0,49.15524386356391,-234.0,-0.9150275681382714,1874.0,40.31230082855322,1691.0,46.1440407903123,-221.0,-0.8646322378716764,1945.0,38.108882521489974,1767.0,43.77586755810252,-208.0,-0.8141856186636431,2022.0,35.65743393823623,1799.0,42.757083731295765,344.0,34.29710867397806,750.0,76.11607142857143,505.0,83.92857142857143,12.0,0.8988764044943753,1849.0,41.09021357985336,1867.0,40.51641695887791,-48.0,-3.440860215053765,2430.0,22.594008922880814,2286.0,27.182919056724025,8.0,0.5974607916355401,1965.0,37.47214262973576,1989.0,36.70805475963069,-68.0,-4.805653710247348,2533.0,19.38872970391595,2444.0,22.22222222222222
"Adair County, Oklahoma",001,40,21822.0,22506.0,22427.0,22236.0,22161.0,19839.0,1392.0,1331.0,1335.0,1265.0,1278.0,1247.0,-1983.0,-9.087159747044272,2914.0,7.110969387755102,2889.0,7.908163265306123,-2667.0,-11.850173287123432,2962.0,5.610455849537775,2981.0,5.0047816385081285,-2588.0,-11.539662014536045,2979.0,5.098789037603569,2999.0,4.461440407903123,-2397.0,-10.779816513761464,2998.0,4.584527220630372,3016.0,4.011461318051576,-2322.0,-10.477866522268853,3015.0,4.043298312639287,3028.0,3.629417382999045,-145.0,-10.416666666666663,2567.0,18.176020408163264,2559.0,18.431122448979593,-84.0,-6.311044327573256,2586.0,17.59642970991393,2446.0,22.059292317500798,-88.0,-6.591760299625471,2623.0,16.44359464627151,2516.0,19.8534098151689,-18.0,-1.4229249011857736,2228.0,29.099013053167784,2183.0,30.53167780961477,-31.0,-2.4256651017214415,2303.0,26.711238459089465,2258.0,28.143903215536454
"Adams County, Colorado",001,08,419439.0,434295.0,452030.0,471206.0,479977.0,514969.0,38451.0,35792.0,36158.0,37191.0,37617.0,40331.0,95530.0,22.775659869492348,64.0,97.99107142857143,174.0,94.48341836734694,80674.0,18.575852818936433,67.0,97.89607905642333,149.0,95.2821166719796,62939.0,13.923633387164557,71.0,97.76927979604844,169.0,94.64627151051626,43763.0,9.287445406043226,75.0,97.64406240050938,232.0,92.64565425023878,34992.0,7.290349329238688,82.0,97.42120343839542,299.0,90.51257561286215,1880.0,4.889339679072058,300.0,90.4655612244898,1636.0,47.86352040816326,4539.0,12.68160482789451,99.0,96.87599617468919,861.0,72.58527255339496,4173.0,11.541014436639196,89.0,97.19566602931803,880.0,71.9885277246654,3140.0,8.44290285284075,94.0,97.03915950334289,1122.0,64.31072906717606,2714.0,7.214823085307165,87.0,97.26201846545686,1135.0,63.89684813753582
"Adams County, Idaho",003,16,3520.0,3980.0,3937.0,3880.0,3865.0,4321.0,130.0,113.0,139.0,85.0,123.0,200.0,801.0,22.755681818181817,1253.0,60.076530612244895,175.0,94.4515306122449,341.0,8.567839195979898,1254.0,60.057379662097546,553.0,82.40357029008607,384.0,9.753619507239009,1178.0,62.49203314212875,333.0,89.4200127469726,441.0,11.365979381443303,1134.0,63.92868513212353,152.0,95.19261381725566,456.0,11.79818887451487,1116.0,64.50175103470232,106.0,96.65711556829035,70.0,53.846153846153854,1508.0,51.94515306122449,271.0,91.39030612244898,87.0,76.99115044247789,1297.0,58.68664328976729,55.0,98.27861013707364,61.0,43.88489208633093,1477.0,52.96367112810707,96.0,96.97259400892288,115.0,135.29411764705884,1169.0,62.814390321553645,16.0,99.52244508118434,77.0,62.601626016260155,1319.0,58.038841133397014,51.0,98.40815027061446
