state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
01,001,"Autauga County, Alabama",58761,28663
01,003,"Baldwin County, Alabama",233420,114077
01,005,"Barbour County, Alabama",24877,12973
01,007,"Bibb County, Alabama",22251,11897
01,009,"Blount County, Alabama",59077,29864
01,011,"Bullock County, Alabama",10328,5542
01,013,"Butler County, Alabama",18981,8928
01,015,"Calhoun County, Alabama",116162,56185
01,017,"Chambers County, Alabama",34612,16485
01,019,"Cherokee County, Alabama",25069,12261
01,021,"Chilton County, Alabama",45140,22048
01,023,"Choctaw County, Alabama",12669,5980
01,025,"Clarke County, Alabama",23058,11032
01,027,"Clay County, Alabama",14209,6931
01,029,"Cleburne County, Alabama",15144,7565
01,031,"Coffee County, Alabama",53559,26626
01,033,"Colbert County, Alabama",57270,27911
01,035,"Conecuh County, Alabama",11576,5639
01,037,"Coosa County, Alabama",10329,5306
01,039,"Covington County, Alabama",37542,18243
01,041,"Crenshaw County, Alabama",13205,6451
01,043,"Cullman County, Alabama",88284,43820
01,045,"Dale County, Alabama",49455,24461
01,047,"Dallas County, Alabama",38326,17895
01,049,"DeKalb County, Alabama",71680,35847
01,051,"Elmore County, Alabama",87694,42743
01,053,"Escambia County, Alabama",36755,18476
01,055,"Etowah County, Alabama",103348,50134
01,057,"Fayette County, Alabama",16297,7997
01,059,"Franklin County, Alabama",32011,16071
01,061,"Geneva County, Alabama",26647,13037
01,063,"Greene County, Alabama",7706,3707
01,065,"Hale County, Alabama",14742,7020
01,067,"Henry County, Alabama",17282,8303
01,069,"Houston County, Alabama",107040,51565
01,071,"Jackson County, Alabama",52618,25883
01,073,"Jefferson County, Alabama",672265,319713
01,075,"Lamar County, Alabama",13885,6930
01,077,"Lauderdale County, Alabama",94329,45493
01,079,"Lawrence County, Alabama",33116,16299
01,081,"Lee County, Alabama",175126,86692
01,083,"Limestone County, Alabama",104199,52385
01,085,"Lowndes County, Alabama",10153,4842
01,087,"Macon County, Alabama",19198,8865
01,089,"Madison County, Alabama",389781,191913
01,091,"Marengo County, Alabama",19180,9100
01,093,"Marion County, Alabama",29203,14510
01,095,"Marshall County, Alabama",97923,48686
01,097,"Mobile County, Alabama",413878,198642
01,099,"Monroe County, Alabama",19816,9758
01,101,"Montgomery County, Alabama",228132,107680
01,103,"Morgan County, Alabama",123102,60953
01,105,"Perry County, Alabama",8479,3912
01,107,"Pickens County, Alabama",18925,9149
01,109,"Pike County, Alabama",32997,15843
01,111,"Randolph County, Alabama",22179,10787
01,113,"Russell County, Alabama",58849,28125
01,115,"St. Clair County, Alabama",91719,45680
01,117,"Shelby County, Alabama",223916,109226
01,119,"Sumter County, Alabama",12196,5586
01,121,"Talladega County, Alabama",81105,39386
01,123,"Tallapoosa County, Alabama",41251,20025
01,125,"Tuscaloosa County, Alabama",231558,111807
01,127,"Walker County, Alabama",64978,32122
01,129,"Washington County, Alabama",15434,7664
01,131,"Wilcox County, Alabama",10441,4892
01,133,"Winston County, Alabama",23655,11764
02,013,"Aleutians East Borough, Alaska",3407,2102
02,016,"Aleutians West Census Area, Alaska",5219,3484
02,020,"Anchorage Municipality, Alaska",290674,149144
02,050,"Bethel Census Area, Alaska",18538,9909
02,060,"Bristol Bay Borough, Alaska",854,489
02,063,"Chugach Census Area, Alaska",7000,3717
02,066,"Copper River Census Area, Alaska",2614,1388
02,068,"Denali Borough, Alaska",2101,1417
02,070,"Dillingham Census Area, Alaska",4854,2492
02,090,"Fairbanks North Star Borough, Alaska",96299,52279
02,100,"Haines Borough, Alaska",2079,1079
02,105,"Hoonah-Angoon Census Area, Alaska",2329,1300
02,110,"Juneau City and Borough, Alaska",32108,16461
02,122,"Kenai Peninsula Borough, Alaska",59235,31086
02,130,"Ketchikan Gateway Borough, Alaska",13910,7232
02,150,"Kodiak Island Borough, Alaska",13065,6991
02,158,"Kusilvak Census Area, Alaska",8372,4576
02,164,"Lake and Peninsula Borough, Alaska",999,508
02,170,"Matanuska-Susitna Borough, Alaska",108661,56811
02,180,"Nome Census Area, Alaska",10018,5237
02,185,"North Slope Borough, Alaska",10924,6766
02,188,"Northwest Arctic Borough, Alaska",7682,4105
02,195,"Petersburg Borough, Alaska",3374,1655
02,198,"Prince of Wales-Hyder Census Area, Alaska",5799,3223
02,220,"Sitka City and Borough, Alaska",8462,4420
02,230,"Skagway Municipality, Alaska",1303,537
02,240,"Southeast Fairbanks Census Area, Alaska",6888,3912
02,275,"Wrangell City and Borough, Alaska",2134,1136
02,282,"Yakutat City and Borough, Alaska",564,352
