NAME,state,Total_Pop_2009,Total_Pop_2011,Total_Pop_2013,Total_Pop_2015,Total_Pop_2016,Total_Pop_2021,Total_Pop_25_to_29_2009,Total_Pop_25_to_29_2011,Total_Pop_25_to_29_2013,Total_Pop_25_to_29_2015,Total_Pop_25_to_29_2016,Total_Pop_25_to_29_2021,2009-2021 Total_Pop Change,2009-2021 Total_Pop % Change,2009-2021 Change Rank,2009-2021 Change Percentile,2009-2021 % Change Rank,2009-2021 % Change Percentile,2011-2021 Total_Pop Change,2011-2021 Total_Pop % Change,2011-2021 Change Rank,2011-2021 Change Percentile,2011-2021 % Change Rank,2011-2021 % Change Percentile,2013-2021 Total_Pop Change,2013-2021 Total_Pop % Change,2013-2021 Change Rank,2013-2021 Change Percentile,2013-2021 % Change Rank,2013-2021 % Change Percentile,2015-2021 Total_Pop Change,2015-2021 Total_Pop % Change,2015-2021 Change Rank,2015-2021 Change Percentile,2015-2021 % Change Rank,2015-2021 % Change Percentile,2016-2021 Total_Pop Change,2016-2021 Total_Pop % Change,2016-2021 Change Rank,2016-2021 Change Percentile,2016-2021 % Change Rank,2016-2021 % Change Percentile
Alabama,01,4633360,4747424,4799277,4830620,4841164,4997675,312650,308967,311340,314792,319177,331435,364315,7.862868415145807,22.0,58.82352941176471,27.0,49.01960784313725,250251,5.27130081492615,23.0,56.86274509803921,28.0,47.05882352941176,198398,4.1339143375137555,24.0,54.90196078431373,28.0,47.05882352941176,167055,3.4582517358020315,24.0,54.90196078431373,27.0,49.01960784313725,156511,3.2329208430038836,24.0,54.90196078431373,26.0,50.98039215686274
Alaska,02,683142,700703,720316,733375,736855,735951,53206,52613,57136,60674,61185,59218,52809,7.730310828495401,43.0,17.647058823529413,28.0,47.05882352941176,35248,5.030376636035516,45.0,13.725490196078432,29.0,45.09803921568628,15635,2.1705751364678783,47.0,9.803921568627452,40.0,23.52941176470588,2576,0.35125276972898245,47.0,9.803921568627452,46.0,11.76470588235294,-904,-0.12268356732328956,47.0,9.803921568627452,47.0,9.803921568627452
Arizona,04,6324865,6337373,6479703,6641928,6728577,7079203,480047,446787,440212,447473,456680,496623,754338,11.926547048830294,9.0,84.31372549019608,16.0,70.58823529411765,741830,11.705638913789663,9.0,84.31372549019608,10.0,82.35294117647058,599500,9.251967258375892,9.0,84.31372549019608,10.0,82.35294117647058,437275,6.583555256847107,9.0,84.31372549019608,10.0,82.35294117647058,350626,5.210997808303297,9.0,84.31372549019608,11.0,80.3921568627451
Arkansas,05,2838143,2895928,2933369,2958208,2968472,3006309,197733,192715,192244,192763,194179,197068,168166,5.925212365973098,33.0,37.254901960784316,34.0,35.294117647058826,110381,3.811593382155909,33.0,37.254901960784316,37.0,29.411764705882355,72940,2.486560674773619,37.0,29.411764705882355,37.0,29.411764705882355,48101,1.6260181839816479,35.0,33.33333333333333,40.0,23.52941176470588,37837,1.2746288326115351,36.0,31.372549019607842,43.0,17.647058823529413
California,06,36308527,36969200,37659181,38421464,38654206,39455353,2722410,2737580,2779994,2866073,2918435,2992210,3146826,8.66690626144102,2.0,98.0392156862745,26.0,50.98039215686274,2486153,6.724930482672065,3.0,96.07843137254902,25.0,52.94117647058824,1796172,4.7695461035119235,3.0,96.07843137254902,25.0,52.94117647058824,1033889,2.690915161379581,3.0,96.07843137254902,31.0,41.17647058823529,801147,2.0725998097076426,3.0,96.07843137254902,33.0,37.254901960784316
Colorado,08,4843211,4966061,5119329,5278906,5359295,5723176,357577,365081,378101,393305,399840,442444,879965,18.16904115885103,7.0,88.23529411764706,6.0,90.19607843137256,757115,15.245785341742678,8.0,86.27450980392157,5.0,92.15686274509804,603847,11.79543256547879,8.0,86.27450980392157,6.0,90.19607843137256,444270,8.415948304440345,7.0,88.23529411764706,7.0,88.23529411764706,363881,6.789717677418383,8.0,86.27450980392157,7.0,88.23529411764706
Connecticut,09,3494487,3558172,3583561,3593222,3588570,3605330,200793,209674,217169,220359,220316,221715,110843,3.1719391143821607,39.0,25.49019607843137,45.0,13.725490196078432,47158,1.325343462879247,43.0,17.647058823529413,48.0,7.8431372549019605,21769,0.6074683813112047,45.0,13.725490196078432,48.0,7.8431372549019605,12108,0.33696776876017687,46.0,11.76470588235294,47.0,9.803921568627452,16760,0.46703840248343287,44.0,15.686274509803921,45.0,13.725490196078432
Delaware,10,863832,890856,908446,926454,934695,981892,58940,58097,58878,62079,63805,64150,118060,13.667009325887447,38.0,27.450980392156865,12.0,78.43137254901961,91036,10.218935495747905,38.0,27.450980392156865,14.0,74.50980392156863,73446,8.084795353824003,36.0,31.372549019607842,14.0,74.50980392156863,55438,5.983891267132524,33.0,37.254901960784316,14.0,74.50980392156863,47197,5.0494546349343805,33.0,37.254901960784316,14.0,74.50980392156863
District of Columbia,11,588433,593955,619371,647484,659009,683154,55826,65936,72590,77208,78124,77357,94721,16.097159744609833,40.0,23.52941176470588,9.0,84.31372549019608,89199,15.017804379119637,39.0,25.49019607843137,6.0,90.19607843137256,63783,10.298028160827677,39.0,25.49019607843137,9.0,84.31372549019608,35670,5.5090164390162455,41.0,21.568627450980394,16.0,70.58823529411765,24145,3.663834636552754,43.0,17.647058823529413,20.0,62.745098039215684
Florida,12,18222420,18688787,19091156,19645772,19934451,21339762,1182912,1173714,1206158,1263844,1299180,1370531,3117342,17.1071789586674,3.0,96.07843137254902,8.0,86.27450980392157,2650975,14.18484249405807,2.0,98.0392156862745,9.0,84.31372549019608,2248606,11.778260048789079,2.0,98.0392156862745,7.0,88.23529411764706,1693990,8.622669549458273,2.0,98.0392156862745,6.0,90.19607843137256,1405311,7.049659907865036,2.0,98.0392156862745,6.0,90.19607843137256
Georgia,13,9497667,9600612,9810417,10006693,10099320,10625615,688762,672186,673866,686000,694026,743331,1127948,11.87605335078603,6.0,90.19607843137256,17.0,68.62745098039215,1025003,10.67643396066833,4.0,94.11764705882352,12.0,78.43137254901961,815198,8.30951426427644,4.0,94.11764705882352,13.0,76.47058823529412,618922,6.1850803257379905,5.0,92.15686274509804,13.0,76.47058823529412,526295,5.211192436718504,5.0,92.15686274509804,10.0,82.35294117647058
Hawaii,15,1280241,1346554,1376298,1406299,1413673,1453498,97204,97569,101636,106733,103651,101516,173257,13.533155085644033,32.0,39.21568627450981,13.0,76.47058823529412,106944,7.942050597302441,34.0,35.294117647058826,20.0,62.745098039215684,77200,5.609250322241266,35.0,33.33333333333333,23.0,56.86274509803921,47199,3.3562563864441453,37.0,29.411764705882355,28.0,47.05882352941176,39825,2.8171295624942916,35.0,33.33333333333333,28.0,47.05882352941176
Idaho,16,1492573,1549987,1583364,1616547,1635483,1811617,105069,105513,105906,106075,106974,118378,319044,21.375436913303414,24.0,54.90196078431373,2.0,98.0392156862745,261630,16.87949640867956,22.0,58.82352941176471,2.0,98.0392156862745,228253,14.415699738026122,22.0,58.82352941176471,2.0,98.0392156862745,195070,12.067078779645746,20.0,62.745098039215684,1.0,100.0,176134,10.769540252023413,22.0,58.82352941176471,1.0,100.0
