State_Abbrev,Region
WA,West
OR,West
CA,West
ID,West
NV,West
MT,West
WY,West
UT,West
CO,West
AZ,West
NM,West
AK,West
HI,West
ND,Midwest
SD,Midwest
NE,Midwest
KS,Midwest
MN,Midwest
IA,Midwest
MO,Midwest
WI,Midwest
IL,Midwest
MI,Midwest
IN,Midwest
OH,Midwest
TX,South
OK,South
AR,South
LA,South
KY,South
TN,South
MS,South
AL,South
WV,South
MD,South
DE,South
DC,South
VA,South
NC,South
SC,South
GA,South
FL,South
PA,Northeast
NJ,Northeast
NY,Northeast
CT,Northeast
RI,Northeast
MA,Northeast
VT,Northeast
NH,Northeast
ME,Northeast
