MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
4660,W,63.0%,23,23
447,W,54.0%,23,23
3567,W,68.0%,23,23
3296,W,60.0%,23,23
4566,W,65.0%,23,23
851,W,62.0%,23,23
2152,W,75.0%,23,23
3655,W,74.0%,23,23
3022,W,80.0%,23,23
678,W,79.0%,23,23
1244,W,43.0%,23,23
1839,W,75.0%,23,23
168,W,62.0%,23,23
3196,W,69.0%,23,23
3027,W,70.0%,23,23
3626,W,62.0%,23,23
4846,W,58.0%,23,23
1457,W,59.0%,23,23
1962,W,91.0%,23,23
1790,W,80.0%,23,23
3032,W,67.0%,23,23
4671,W,73.0%,23,23
936,W,73.0%,23,23
232,W,77.0%,23,23
3728,W,65.0%,23,23
906,W,79.0%,23,23
4107,W,64.0%,23,23
1505,W,66.0%,23,23
2233,W,65.0%,23,23
3735,W,78.0%,23,23
4247,W,59.0%,23,23
386,W,78.0%,23,23
2267,W,50.0%,23,23
1267,W,75.0%,23,23
1978,W,46.0%,23,23
593,W,88.0%,23,23
1330,W,61.0%,23,23
1239,W,61.0%,23,23
602,W,56.0%,23,23
4934,W,56.0%,23,23
2468,W,47.0%,23,23
1616,W,73.0%,23,23
4587,W,70.0%,23,23
4557,W,80.0%,23,23
1139,W,59.0%,23,23
4741,W,69.0%,23,23
1556,W,65.0%,23,23
4240,W,58.0%,23,23
3117,W,72.0%,23,23
4516,W,65.0%,23,23
1871,W,65.0%,23,23
4408,W,88.0%,23,23
4092,W,79.0%,23,23
3606,W,73.0%,23,23
255,W,61.0%,23,23
2279,W,62.0%,23,23
1169,W,53.0%,23,23
1793,W,75.0%,23,23
3405,W,61.0%,23,23
3509,W,53.0%,23,23
1447,W,58.0%,23,23
2908,W,65.0%,23,23
3311,W,62.0%,23,23
4830,W,71.0%,23,23
2109,W,72.0%,23,23
4170,W,72.0%,23,23
5292,W,52.0%,23,23
4985,W,69.0%,23,23
161,W,69.0%,23,23
2823,W,61.0%,23,23
2644,W,69.0%,23,23
3122,W,80.0%,23,23
4543,W,71.0%,23,23
1989,W,65.0%,23,23
2698,W,52.0%,23,23
4331,W,57.0%,23,23
3772,W,68.0%,23,23
3325,W,55.0%,23,23
1551,W,64.0%,23,23
731,W,61.0%,23,23
4804,W,73.0%,23,23
733,W,88.0%,23,23
5181,W,62.0%,23,23
1354,W,63.0%,23,23
3321,W,57.0%,23,23
236,W,74.0%,23,23
703,W,69.0%,23,23
1100,W,65.0%,23,23
2798,W,54.0%,23,23
3540,W,90.0%,23,23
317,W,67.0%,23,23
45,W,65.0%,23,23
4562,W,60.0%,23,23
4165,W,65.0%,23,23
5283,W,65.0%,23,23
4817,W,73.0%,23,23
132,W,52.0%,23,23
4569,W,55.0%,23,23
2436,W,63.0%,23,23
569,W,69.0%,23,23
5053,W,53.0%,23,23
1166,W,54.0%,23,23
3207,W,48.0%,23,23
1938,W,77.0%,23,23
3748,W,66.0%,23,23
801,W,69.0%,23,23
472,W,65.0%,23,23
4871,W,55.0%,23,23
2028,W,53.0%,23,23
5082,W,48.0%,23,23
3277,W,62.0%,23,23
4472,W,64.0%,23,23
5094,W,72.0%,23,23
420,W,90.0%,23,23
5114,W,63.0%,23,23
3625,W,57.0%,23,23
5308,W,78.0%,23,23
1605,W,57.0%,23,23
1848,W,56.0%,23,23
1211,W,64.0%,23,23
2006,W,64.0%,23,23
4497,W,81.0%,23,23
4310,W,48.0%,23,23
561,W,79.0%,23,23
5383,W,78.0%,23,23
4986,W,67.0%,23,23
3992,W,37.0%,23,23
4512,W,47.0%,23,23
1343,W,68.0%,23,23
2825,W,59.0%,23,23
1498,W,60.0%,23,23
1972,W,58.0%,23,23
1800,W,82.0%,23,23
3359,W,49.0%,23,23
2199,W,39.0%,23,23
5302,W,66.0%,23,23
5047,W,55.0%,23,23
1063,W,42.0%,23,23
4818,W,59.0%,23,23
997,W,42.0%,23,23
4159,W,56.0%,23,23
2092,W,59.0%,23,23
5266,W,60.0%,23,23
1167,W,58.0%,23,23
2189,W,65.0%,23,23
1663,W,54.0%,23,23
4806,W,71.0%,23,23
594,W,62.0%,23,23
5044,W,69.0%,23,23
1830,W,42.0%,23,23
2785,W,63.0%,23,23
4677,W,78.0%,23,23
2045,W,70.0%,23,23
1910,W,70.0%,23,23
1825,W,77.0%,23,23
2809,W,68.0%,23,23
4776,W,74.0%,23,23
398,W,74.0%,23,23
2237,W,70.0%,23,23
1399,W,61.0%,23,23
3758,W,77.0%,23,23
1571,W,44.0%,23,23
3761,W,76.0%,23,23
2188,W,57.0%,23,23
3827,W,50.0%,23,23
109,W,46.0%,23,23
3189,W,59.0%,23,23
3409,W,64.0%,23,23
129,W,66.0%,23,23
4609,W,66.0%,23,23
5276,W,70.0%,23,23
4421,W,68.0%,23,23
2240,W,71.0%,23,23
5284,W,55.0%,23,23
1181,W,75.0%,23,23
1845,W,44.0%,23,23
5083,W,64.0%,23,23
5391,W,55.0%,23,23
4502,W,81.0%,23,23
1667,W,66.0%,23,23
5242,W,64.0%,23,23
1450,W,57.0%,23,23
4383,W,61.0%,23,23
2895,W,61.0%,23,23
860,W,53.0%,23,23
3575,W,71.0%,23,23
2991,W,68.0%,23,23
2083,W,43.0%,23,23
3410,W,63.0%,23,23
3946,W,67.0%,23,23
2230,W,69.0%,23,23
1049,W,74.0%,23,23
3481,W,68.0%,23,23
4708,W,51.0%,23,23
2295,W,63.0%,23,23
1073,W,57.0%,23,23
4658,W,56.0%,23,23
3630,W,72.0%,23,23
458,W,60.0%,23,23
4673,W,61.0%,23,23
4826,W,58.0%,23,23
888,W,90.0%,23,23
3671,W,68.0%,23,23
4605,W,74.0%,23,23
3479,W,68.0%,23,23
694,W,70.0%,23,23
2126,W,43.0%,23,23
4882,W,71.0%,23,23
5442,W,60.0%,23,23
2677,W,78.0%,23,23
2896,W,45.0%,23,23
3898,W,58.0%,23,23
664,W,75.0%,23,23
357,W,64.0%,23,23
4185,W,53.0%,23,23
4581,W,54.0%,23,23
423,W,63.0%,23,23
1490,W,66.0%,23,23
484,W,57.0%,23,23
4427,W,78.0%,23,23
773,W,93.0%,23,23
2947,W,64.0%,23,23
1093,W,81.0%,23,23
595,W,63.0%,23,23
5019,W,86.0%,23,23
5324,W,70.0%,23,23
1666,W,79.0%,23,23
4791,W,50.0%,23,23
3752,W,74.0%,23,23
5147,W,78.0%,23,23
4910,W,86.0%,23,23
1692,W,81.0%,23,23
2915,W,74.0%,23,23
1628,W,75.0%,23,23
3262,W,61.0%,23,23
1451,W,57.0%,23,23
5051,W,51.0%,23,23
4133,W,66.0%,23,23
2761,W,62.0%,23,23
3487,W,54.0%,23,23
1672,W,78.0%,23,23
1320,W,52.0%,23,23
2013,W,63.0%,23,23
1478,W,67.0%,23,23
5298,W,61.0%,23,23
665,W,75.0%,23,23
153,W,45.0%,23,23
4217,W,75.0%,23,23
4732,W,73.0%,23,23
4307,W,59.0%,23,23
2357,W,64.0%,23,23
4548,W,72.0%,23,23
1995,W,62.0%,23,23
4361,W,69.0%,23,23
777,W,77.0%,23,23
4042,W,57.0%,23,23
2741,W,55.0%,23,23
3503,W,52.0%,23,23
793,W,66.0%,23,23
1452,W,72.0%,23,23
500,W,95.0%,23,23
408,W,61.0%,23,23
4589,W,69.0%,23,23
3212,W,62.0%,23,23
4483,W,74.0%,23,23
5404,W,69.0%,23,23
4711,W,57.0%,23,23
1689,W,70.0%,23,23
4961,W,56.0%,23,23
2922,W,51.0%,23,23
679,W,63.0%,23,23
3814,W,75.0%,23,23
230,W,60.0%,23,23
3188,W,64.0%,23,23
1132,W,44.0%,23,23
4993,W,52.0%,23,23
1412,W,79.0%,23,23
5365,W,61.0%,23,23
2086,W,60.0%,23,23
2892,W,55.0%,23,23
2794,W,72.0%,23,23
2758,W,73.0%,23,23
1771,W,71.0%,23,23
