MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
1005,W,73.0%,23,21
2194,W,64.0%,23,21
812,W,69.0%,23,21
3253,W,67.0%,23,21
3463,W,61.0%,23,21
659,W,70.0%,23,21
2197,W,50.0%,23,21
1944,W,70.0%,23,21
1643,W,73.0%,23,21
3495,W,70.0%,23,21
2930,W,79.0%,23,21
2793,W,53.0%,23,21
767,W,60.0%,23,21
1522,W,95.0%,23,21
2685,W,70.0%,23,21
2907,W,67.0%,23,21
1833,W,80.0%,23,21
2607,W,69.0%,23,21
1235,W,51.0%,23,21
395,W,47.0%,23,21
53,W,70.0%,23,21
1260,W,59.0%,23,21
505,W,73.0%,23,21
2023,W,58.0%,23,21
1587,W,62.0%,23,21
3038,W,73.0%,23,21
236,W,63.0%,23,21
464,W,61.0%,23,21
764,W,72.0%,23,21
1847,W,63.0%,23,21
1683,W,67.0%,23,21
1904,W,60.0%,23,21
57,W,71.0%,23,21
3213,W,81.0%,23,21
463,W,53.0%,23,21
2667,W,79.0%,23,21
2391,W,83.0%,23,21
3612,W,68.0%,23,21
2847,W,65.0%,23,21
936,W,53.0%,23,21
1079,W,76.0%,23,21
3506,W,68.0%,23,21
2687,W,56.0%,23,21
512,W,47.0%,23,21
1732,W,67.0%,23,21
1256,W,69.0%,23,21
751,W,53.0%,23,21
391,W,65.0%,23,21
944,W,60.0%,23,21
3327,W,58.0%,23,21
1654,W,68.0%,23,21
2232,W,68.0%,23,21
1397,W,71.0%,23,21
2055,W,71.0%,23,21
2823,W,63.0%,23,21
729,W,62.0%,23,21
3247,W,55.0%,23,21
978,W,55.0%,23,21
1901,W,79.0%,23,21
930,W,74.0%,23,21
1473,W,49.0%,23,21
1463,W,55.0%,23,21
1584,W,69.0%,23,21
3047,W,79.0%,23,21
1280,W,55.0%,23,21
187,W,51.0%,23,21
2872,W,79.0%,23,21
1232,W,67.0%,23,21
159,W,70.0%,23,21
1252,W,54.0%,23,21
1220,W,68.0%,23,21
3455,W,61.0%,23,21
2146,W,84.0%,23,21
2026,W,63.0%,23,21
1959,W,64.0%,23,21
842,W,50.0%,23,21
1907,W,61.0%,23,21
867,W,48.0%,23,21
3065,W,48.0%,23,21
