MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
974,W,64.0%,23,20
2409,W,69.0%,23,20
3097,W,62.0%,23,20
286,W,79.0%,23,20
1714,W,68.0%,23,20
2134,W,59.0%,23,20
1451,W,60.0%,23,20
313,W,62.0%,23,20
1680,W,45.0%,23,20
2302,W,74.0%,23,20
800,W,75.0%,23,20
1063,W,72.0%,23,20
2635,W,63.0%,23,20
2034,W,75.0%,23,20
3273,W,48.0%,23,20
1708,W,58.0%,23,20
1688,W,60.0%,23,20
2761,W,57.0%,23,20
953,W,64.0%,23,20
2344,W,65.0%,23,20
3145,W,66.0%,23,20
352,W,61.0%,23,20
1283,W,60.0%,23,20
69,W,63.0%,23,20
1827,W,63.0%,23,20
2350,W,70.0%,23,20
2782,W,83.0%,23,20
1481,W,58.0%,23,20
3208,W,76.0%,23,20
1953,W,53.0%,23,20
1343,W,64.0%,23,20
2772,W,48.0%,23,20
2838,W,65.0%,23,20
3157,W,82.0%,23,20
2154,W,54.0%,23,20
1995,W,79.0%,23,20
835,W,48.0%,23,20
730,W,67.0%,23,20
968,W,64.0%,23,20
1655,W,74.0%,23,20
2843,W,64.0%,23,20
694,W,76.0%,23,20
2769,W,66.0%,23,20
1686,W,60.0%,23,20
2831,W,63.0%,23,20
1071,W,66.0%,23,20
196,W,65.0%,23,20
2178,W,53.0%,23,20
202,W,45.0%,23,20
607,W,82.0%,23,20
529,W,65.0%,23,20
3066,W,71.0%,23,20
1956,W,54.0%,23,20
2604,W,67.0%,23,20
2290,W,57.0%,23,20
112,W,55.0%,23,20
2059,W,57.0%,23,20
234,W,65.0%,23,20
2397,W,40.0%,23,20
949,W,71.0%,23,20
523,W,52.0%,23,20
2065,W,73.0%,23,20
233,W,69.0%,23,20
3069,W,73.0%,23,20
774,W,62.0%,23,20
1201,W,75.0%,23,20
1361,W,67.0%,23,20
3030,W,67.0%,23,20
2047,W,68.0%,23,20
1491,W,41.0%,23,20
2599,W,77.0%,23,20
541,W,73.0%,23,20
778,W,64.0%,23,20
990,W,48.0%,23,20
2431,W,81.0%,23,20
813,W,93.0%,23,20
673,W,53.0%,23,20
1211,W,76.0%,23,20
42,W,47.0%,23,20
1783,W,64.0%,23,20
1025,W,67.0%,23,20
2172,W,62.0%,23,20
1764,W,66.0%,23,20
344,W,56.0%,23,20
2462,W,71.0%,23,20
2451,W,50.0%,23,20
3170,W,52.0%,23,20
2327,W,46.0%,23,20
1786,W,74.0%,23,20
3200,W,62.0%,23,20
2449,W,67.0%,23,20
850,W,59.0%,23,20
2750,W,65.0%,23,20
1206,W,68.0%,23,20
733,W,49.0%,23,20
2264,W,50.0%,23,20
1949,W,66.0%,23,20
1946,W,57.0%,23,20
1832,W,71.0%,23,20
1763,W,61.0%,23,20
824,W,66.0%,23,20
2359,W,56.0%,23,20
1089,W,66.0%,23,20
2697,W,65.0%,23,20
3280,W,81.0%,23,20
2613,W,64.0%,23,20
87,W,33.0%,23,20
1334,W,71.0%,23,20
3285,W,71.0%,23,20
1226,W,51.0%,23,20
2207,W,34.0%,23,20
2998,W,59.0%,23,20
2035,W,88.0%,23,20
115,W,59.0%,23,20
3055,W,58.0%,23,20
1394,W,82.0%,23,20
2152,W,45.0%,23,20
858,W,46.0%,23,20
1621,W,82.0%,23,20
985,W,49.0%,23,20
128,W,65.0%,23,20
2246,W,60.0%,23,20
3252,W,72.0%,23,20
1298,W,66.0%,23,20
28,W,70.0%,23,20
871,W,89.0%,23,20
2868,W,59.0%,23,20
1622,W,52.0%,23,20
2057,W,68.0%,23,20
481,W,65.0%,23,20
2796,W,69.0%,23,20
622,W,91.0%,23,20
1822,W,50.0%,23,20
3048,W,52.0%,23,20
2837,W,81.0%,23,20
2873,W,59.0%,23,20
540,W,56.0%,23,20
1174,W,55.0%,23,20
3224,W,49.0%,23,20
729,W,68.0%,23,20
444,W,72.0%,23,20
1103,W,61.0%,23,20
1849,W,49.0%,23,20
506,W,51.0%,23,20
116,W,50.0%,23,20
3237,W,54.0%,23,20
2493,W,72.0%,23,20
2521,W,78.0%,23,20
1992,W,59.0%,23,20
3235,W,70.0%,23,20
3025,W,70.0%,23,20
2890,W,66.0%,23,20
