MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
2907,W,65.0%,23,23
3837,W,59.0%,23,23
4765,W,61.0%,23,23
3885,W,69.0%,23,23
2635,W,63.0%,23,23
3635,W,79.0%,23,23
3465,W,60.0%,23,23
431,W,70.0%,23,23
329,W,67.0%,23,23
337,W,48.0%,23,23
2475,W,56.0%,23,23
1977,W,64.0%,23,23
5037,W,50.0%,23,23
979,W,72.0%,23,23
1360,W,68.0%,23,23
4362,W,74.0%,23,23
3583,W,55.0%,23,23
4959,W,73.0%,23,23
3168,W,61.0%,23,23
4392,W,67.0%,23,23
3084,W,70.0%,23,23
444,W,69.0%,23,23
4082,W,75.0%,23,23
4514,W,62.0%,23,23
4774,W,85.0%,23,23
2172,W,66.0%,23,23
1697,W,70.0%,23,23
4267,W,60.0%,23,23
2989,W,67.0%,23,23
4073,W,66.0%,23,23
5106,W,59.0%,23,23
3711,W,54.0%,23,23
4689,W,68.0%,23,23
559,W,68.0%,23,23
2495,W,43.0%,23,23
1757,W,69.0%,23,23
4123,W,51.0%,23,23
242,W,62.0%,23,23
4844,W,88.0%,23,23
1553,W,41.0%,23,23
4654,W,67.0%,23,23
3458,W,58.0%,23,23
3791,W,58.0%,23,23
3865,W,63.0%,23,23
5092,W,36.0%,23,23
1827,W,78.0%,23,23
5271,W,58.0%,23,23
3614,W,61.0%,23,23
5256,W,57.0%,23,23
1010,W,70.0%,23,23
1501,W,51.0%,23,23
4318,W,53.0%,23,23
3130,W,68.0%,23,23
3766,W,51.0%,23,23
3462,W,59.0%,23,23
4342,W,67.0%,23,23
2064,W,51.0%,23,23
1639,W,72.0%,23,23
933,W,50.0%,23,23
5098,W,64.0%,23,23
1579,W,67.0%,23,23
1213,W,53.0%,23,23
4799,W,63.0%,23,23
3107,W,54.0%,23,23
772,W,56.0%,23,23
2995,W,67.0%,23,23
3095,W,58.0%,23,23
1900,W,83.0%,23,23
764,W,85.0%,23,23
1052,W,75.0%,23,23
3046,W,66.0%,23,23
3584,W,74.0%,23,23
1308,W,70.0%,23,23
3546,W,53.0%,23,23
2215,W,45.0%,23,23
3195,W,65.0%,23,23
1829,W,56.0%,23,23
5031,W,67.0%,23,23
1251,W,66.0%,23,23
3515,W,78.0%,23,23
4617,W,69.0%,23,23
368,W,56.0%,23,23
4216,W,48.0%,23,23
3304,W,66.0%,23,23
3059,W,61.0%,23,23
4284,W,70.0%,23,23
948,W,66.0%,23,23
2846,W,47.0%,23,23
1734,W,73.0%,23,23
1378,W,58.0%,23,23
3255,W,66.0%,23,23
5316,W,54.0%,23,23
705,W,72.0%,23,23
2462,W,32.0%,23,23
2211,W,76.0%,23,23
4909,W,54.0%,23,23
4600,W,60.0%,23,23
4356,W,79.0%,23,23
97,W,52.0%,23,23
452,W,71.0%,23,23
2608,W,74.0%,23,23
2927,W,68.0%,23,23
1812,W,72.0%,23,23
4391,W,40.0%,23,23
581,W,70.0%,23,23
3763,W,66.0%,23,23
2831,W,44.0%,23,23
3186,W,84.0%,23,23
3051,W,64.0%,23,23
975,W,61.0%,23,23
3094,W,67.0%,23,23
3855,W,61.0%,23,23
2837,W,61.0%,23,23
2834,W,83.0%,23,23
751,W,66.0%,23,23
3072,W,52.0%,23,23
2442,W,67.0%,23,23
989,W,67.0%,23,23
825,W,71.0%,23,23
2372,W,52.0%,23,23
487,W,29.0%,23,23
2807,W,53.0%,23,23
4385,W,65.0%,23,23
2169,W,59.0%,23,23
3969,W,85.0%,23,23
3271,W,68.0%,23,23
1915,W,65.0%,23,23
1018,W,54.0%,23,23
2939,W,85.0%,23,23
4824,W,77.0%,23,23
1532,W,61.0%,23,23
2409,W,91.0%,23,23
2334,W,60.0%,23,23
1623,W,51.0%,23,23
508,W,54.0%,23,23
5281,W,78.0%,23,23
3542,W,61.0%,23,23
2718,W,71.0%,23,23
4496,W,65.0%,23,23
2053,W,59.0%,23,23
1210,W,82.0%,23,23
4056,W,56.0%,23,23
2618,W,75.0%,23,23
476,W,66.0%,23,23
4157,W,60.0%,23,23
2018,W,63.0%,23,23
3038,W,56.0%,23,23
1282,W,50.0%,23,23
2575,W,63.0%,23,23
39,W,74.0%,23,23
3091,W,51.0%,23,23
48,W,56.0%,23,23
4848,W,75.0%,23,23
2249,W,80.0%,23,23
5209,W,65.0%,23,23
4685,W,62.0%,23,23
2179,W,70.0%,23,23
2716,W,72.0%,23,23
4147,W,50.0%,23,23
1749,W,49.0%,23,23
551,W,68.0%,23,23
4974,W,77.0%,23,23
2301,W,69.0%,23,23
2812,W,57.0%,23,23
2369,W,66.0%,23,23
4740,W,56.0%,23,23
4540,W,54.0%,23,23
3226,W,75.0%,23,23
2736,W,57.0%,23,23
2271,W,51.0%,23,23
4359,W,65.0%,23,23
4198,W,71.0%,23,23
2890,W,65.0%,23,23
1128,W,78.0%,23,23
3875,W,66.0%,23,23
999,W,62.0%,23,23
3834,W,54.0%,23,23
483,W,56.0%,23,23
516,W,73.0%,23,23
387,W,64.0%,23,23
182,W,66.0%,23,23
5369,W,69.0%,23,23
5411,W,58.0%,23,23
3703,W,68.0%,23,23
3675,W,76.0%,23,23
2003,W,65.0%,23,23
2883,W,59.0%,23,23
3055,W,71.0%,23,23
2239,W,56.0%,23,23
3723,W,67.0%,23,23
