MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
640,W,83.0%,23,21
774,W,56.0%,23,21
132,W,69.0%,23,21
1887,W,81.0%,23,21
235,W,54.0%,23,21
3352,W,58.0%,23,21
533,W,59.0%,23,21
3421,W,64.0%,23,21
2965,W,73.0%,23,21
2406,W,66.0%,23,21
2270,W,74.0%,23,21
3170,W,65.0%,23,21
1227,W,62.0%,23,21
1821,W,63.0%,23,21
3174,W,56.0%,23,21
706,W,87.0%,23,21
2307,W,79.0%,23,21
3109,W,51.0%,23,21
2003,W,84.0%,23,21
1523,W,69.0%,23,21
2217,W,75.0%,23,21
3003,W,55.0%,23,21
1791,W,71.0%,23,21
1981,W,61.0%,23,21
2477,W,58.0%,23,21
2532,W,54.0%,23,21
741,W,78.0%,23,21
1699,W,64.0%,23,21
537,W,50.0%,23,21
705,W,67.0%,23,21
120,W,51.0%,23,21
1499,W,57.0%,23,21
1097,W,62.0%,23,21
2334,W,83.0%,23,21
876,W,65.0%,23,21
2417,W,75.0%,23,21
2186,W,73.0%,23,21
2181,W,50.0%,23,21
1828,W,64.0%,23,21
1250,W,65.0%,23,21
1957,W,54.0%,23,21
3308,W,70.0%,23,21
1856,W,80.0%,23,21
768,W,57.0%,23,21
2894,W,68.0%,23,21
1606,W,59.0%,23,21
1530,W,62.0%,23,21
899,W,64.0%,23,21
2121,W,48.0%,23,21
3633,W,72.0%,23,21
2730,W,83.0%,23,21
1353,W,64.0%,23,21
2815,W,88.0%,23,21
1215,W,67.0%,23,21
895,W,70.0%,23,21
1771,W,62.0%,23,21
3550,W,47.0%,23,21
709,W,66.0%,23,21
1381,W,68.0%,23,21
3560,W,66.0%,23,21
1757,W,78.0%,23,21
2852,W,58.0%,23,21
2880,W,69.0%,23,21
2762,W,93.0%,23,21
950,W,70.0%,23,21
963,W,62.0%,23,21
223,W,74.0%,23,21
2463,W,70.0%,23,21
553,W,80.0%,23,21
2420,W,62.0%,23,21
1224,W,62.0%,23,21
2898,W,66.0%,23,21
1756,W,77.0%,23,21
3057,W,51.0%,23,21
2129,W,67.0%,23,21
3033,W,39.0%,23,21
2787,W,62.0%,23,21
385,W,56.0%,23,21
1293,W,57.0%,23,21
422,W,71.0%,23,21
3158,W,75.0%,23,21
2049,W,73.0%,23,21
2210,W,73.0%,23,21
2379,W,54.0%,23,21
3516,W,75.0%,23,21
3026,W,55.0%,23,21
1937,W,48.0%,23,21
594,W,74.0%,23,21
2237,W,59.0%,23,21
1452,W,51.0%,23,21
600,W,64.0%,23,21
2150,W,62.0%,23,21
2761,W,57.0%,23,21
1905,W,68.0%,23,21
2646,W,75.0%,23,21
