MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
1305,W,65.0%,23,20
1239,W,54.0%,23,20
514,W,58.0%,23,20
1951,W,49.0%,23,20
794,W,53.0%,23,20
141,W,52.0%,23,20
1210,W,76.0%,23,20
447,W,63.0%,23,20
1192,W,61.0%,23,20
70,W,76.0%,23,20
672,W,78.0%,23,20
2069,W,69.0%,23,20
717,W,55.0%,23,20
1138,W,52.0%,23,20
2070,W,50.0%,23,20
2541,W,62.0%,23,20
2623,W,61.0%,23,20
1819,W,86.0%,23,20
836,W,56.0%,23,20
2305,W,76.0%,23,20
1571,W,72.0%,23,20
1107,W,56.0%,23,20
2347,W,59.0%,23,20
3002,W,81.0%,23,20
670,W,64.0%,23,20
2077,W,64.0%,23,20
2895,W,64.0%,23,20
3098,W,70.0%,23,20
1403,W,75.0%,23,20
1311,W,66.0%,23,20
2590,W,53.0%,23,20
1734,W,69.0%,23,20
2689,W,81.0%,23,20
1073,W,62.0%,23,20
27,W,41.0%,23,20
1434,W,61.0%,23,20
2301,W,48.0%,23,20
2724,W,84.0%,23,20
1557,W,62.0%,23,20
2793,W,75.0%,23,20
1679,W,70.0%,23,20
2469,W,88.0%,23,20
180,W,51.0%,23,20
75,W,55.0%,23,20
908,W,52.0%,23,20
2277,W,63.0%,23,20
1092,W,52.0%,23,20
929,W,66.0%,23,20
780,W,62.0%,23,20
1196,W,72.0%,23,20
1964,W,69.0%,23,20
1959,W,72.0%,23,20
209,W,50.0%,23,20
1057,W,75.0%,23,20
1341,W,56.0%,23,20
1920,W,61.0%,23,20
1744,W,62.0%,23,20
1021,W,70.0%,23,20
1604,W,65.0%,23,20
2165,W,46.0%,23,20
3029,W,50.0%,23,20
819,W,75.0%,23,20
2171,W,69.0%,23,20
3258,W,62.0%,23,20
654,W,63.0%,23,20
2676,W,62.0%,23,20
986,W,58.0%,23,20
2061,W,48.0%,23,20
243,W,54.0%,23,20
2294,W,80.0%,23,20
241,W,63.0%,23,20
575,W,66.0%,23,20
2370,W,61.0%,23,20
2947,W,78.0%,23,20
1921,W,52.0%,23,20
363,W,55.0%,23,20
2725,W,69.0%,23,20
261,W,69.0%,23,20
1659,W,61.0%,23,20
2096,W,70.0%,23,20
2881,W,63.0%,23,20
3206,W,88.0%,23,20
1797,W,39.0%,23,20
3117,W,55.0%,23,20
3109,W,73.0%,23,20
2926,W,50.0%,23,20
1534,W,70.0%,23,20
2560,W,74.0%,23,20
2828,W,55.0%,23,20
1809,W,76.0%,23,20
3218,W,63.0%,23,20
743,W,55.0%,23,20
725,W,71.0%,23,20
2162,W,64.0%,23,20
2958,W,63.0%,23,20
1424,W,72.0%,23,20
2584,W,68.0%,23,20
1270,W,62.0%,23,20
638,W,66.0%,23,20
2602,W,56.0%,23,20
1173,W,53.0%,23,20
1480,W,58.0%,23,20
438,W,69.0%,23,20
1596,W,75.0%,23,20
289,W,50.0%,23,20
145,W,63.0%,23,20
231,W,72.0%,23,20
1422,W,59.0%,23,20
776,W,75.0%,23,20
2610,W,79.0%,23,20
1150,W,67.0%,23,20
2248,W,43.0%,23,20
803,W,67.0%,23,20
2629,W,60.0%,23,20
1213,W,52.0%,23,20
143,W,75.0%,23,20
170,W,72.0%,23,20
2373,W,46.0%,23,20
1467,W,58.0%,23,20
187,W,73.0%,23,20
471,W,71.0%,23,20
2415,W,80.0%,23,20
853,W,74.0%,23,20
2117,W,57.0%,23,20
555,W,77.0%,23,20
568,W,49.0%,23,20
1750,W,67.0%,23,20
269,W,68.0%,23,20
1706,W,69.0%,23,20
2605,W,37.0%,23,20
3040,W,59.0%,23,20
881,W,73.0%,23,20
1299,W,81.0%,23,20
1186,W,79.0%,23,20
1096,W,54.0%,23,20
877,W,81.0%,23,20
587,W,54.0%,23,20
1163,W,90.0%,23,20
544,W,75.0%,23,20
2133,W,55.0%,23,20
2520,W,62.0%,23,20
360,W,70.0%,23,20
1125,W,79.0%,23,20
1795,W,58.0%,23,20
39,W,58.0%,23,20
2060,W,67.0%,23,20
1446,W,60.0%,23,20
2630,W,72.0%,23,20
2479,W,64.0%,23,20
2833,W,77.0%,23,20
3047,W,69.0%,23,20
1779,W,91.0%,23,20
101,W,68.0%,23,20
2119,W,71.0%,23,20
581,W,57.0%,23,20
1184,W,69.0%,23,20
1212,W,69.0%,23,20
338,W,50.0%,23,20
1329,W,58.0%,23,20
1457,W,80.0%,23,20
948,W,66.0%,23,20
2423,W,55.0%,23,20
2765,W,56.0%,23,20
2330,W,91.0%,23,20
692,W,59.0%,23,20
741,W,71.0%,23,20
3257,W,50.0%,23,20
390,W,69.0%,23,20
104,W,67.0%,23,20
275,W,65.0%,23,20
3159,W,64.0%,23,20
1425,W,66.0%,23,20
1567,W,72.0%,23,20
2600,W,71.0%,23,20
260,W,51.0%,23,20
2760,W,76.0%,23,20
1113,W,68.0%,23,20
1056,W,63.0%,23,20
1984,W,68.0%,23,20
2706,W,67.0%,23,20
3248,W,55.0%,23,20
1369,W,68.0%,23,20
2262,W,63.0%,23,20
2003,W,53.0%,23,20
1381,W,75.0%,23,20
2643,W,54.0%,23,20
3148,W,74.0%,23,20
2530,W,40.0%,23,20
1607,W,70.0%,23,20
662,W,34.0%,23,20
963,W,69.0%,23,20
612,W,58.0%,23,20
437,W,48.0%,23,20
1249,W,63.0%,23,20
1387,W,68.0%,23,20
2685,W,74.0%,23,20
2206,W,30.0%,23,20
880,W,77.0%,23,20
1220,W,60.0%,23,20
2897,W,74.0%,23,20
927,W,80.0%,23,20
723,W,64.0%,23,20
1970,W,58.0%,23,20
1713,W,66.0%,23,20
198,W,64.0%,23,20
761,W,65.0%,23,20
809,W,83.0%,23,20
579,W,54.0%,23,20
91,W,68.0%,23,20
1449,W,62.0%,23,20
2249,W,58.0%,23,20
2795,W,60.0%,23,20
1996,W,61.0%,23,20
2727,W,66.0%,23,20
1643,W,73.0%,23,20
2658,W,60.0%,23,20
2603,W,60.0%,23,20
2437,W,64.0%,23,20
2819,W,54.0%,23,20
1458,W,81.0%,23,20
1522,W,71.0%,23,20
1084,W,68.0%,23,20
2695,W,68.0%,23,20
1928,W,61.0%,23,20
1617,W,56.0%,23,20
2535,W,59.0%,23,20
1767,W,76.0%,23,20
2388,W,64.0%,23,20
1735,W,71.0%,23,20
919,W,62.0%,23,20
554,W,58.0%,23,20
2230,W,71.0%,23,20
1337,W,72.0%,23,20
3111,W,40.0%,23,20
2252,W,56.0%,23,20
2122,W,66.0%,23,20
285,W,47.0%,23,20
1717,W,41.0%,23,20
2666,W,69.0%,23,20
859,W,64.0%,23,20
2236,W,65.0%,23,20
2328,W,60.0%,23,20
416,W,60.0%,23,20
111,W,65.0%,23,20
3085,W,90.0%,23,20
1139,W,58.0%,23,20
2785,W,61.0%,23,20
1590,W,58.0%,23,20
2185,W,82.0%,23,20
2986,W,59.0%,23,20
882,W,57.0%,23,20
2046,W,72.0%,23,20
2054,W,54.0%,23,20
395,W,97.0%,23,20
2943,W,70.0%,23,20
