MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
730,W,70.0%,23,22
2389,W,63.0%,23,22
844,W,65.0%,23,22
1294,W,79.0%,23,22
1714,W,55.0%,23,22
2616,W,58.0%,23,22
1681,W,66.0%,23,22
3874,W,61.0%,23,22
2588,W,52.0%,23,22
2137,W,45.0%,23,22
993,W,62.0%,23,22
438,W,75.0%,23,22
3273,W,62.0%,23,22
1677,W,79.0%,23,22
1030,W,64.0%,23,22
2741,W,68.0%,23,22
2187,W,69.0%,23,22
1690,W,85.0%,23,22
3797,W,80.0%,23,22
1651,W,69.0%,23,22
2297,W,89.0%,23,22
747,W,46.0%,23,22
169,W,42.0%,23,22
3941,W,74.0%,23,22
3924,W,74.0%,23,22
3196,W,63.0%,23,22
2545,W,63.0%,23,22
1675,W,47.0%,23,22
2235,W,41.0%,23,22
369,W,65.0%,23,22
1267,W,79.0%,23,22
1632,W,74.0%,23,22
2500,W,48.0%,23,22
2063,W,61.0%,23,22
1214,W,48.0%,23,22
3293,W,57.0%,23,22
1143,W,82.0%,23,22
2258,W,76.0%,23,22
3228,W,49.0%,23,22
3591,W,59.0%,23,22
2478,W,49.0%,23,22
2955,W,78.0%,23,22
3640,W,52.0%,23,22
3974,W,69.0%,23,22
756,W,65.0%,23,22
2270,W,70.0%,23,22
512,W,65.0%,23,22
288,W,62.0%,23,22
1117,W,67.0%,23,22
3844,W,72.0%,23,22
2622,W,46.0%,23,22
3893,W,77.0%,23,22
3956,W,75.0%,23,22
3758,W,73.0%,23,22
2372,W,49.0%,23,22
2789,W,62.0%,23,22
806,W,74.0%,23,22
3734,W,75.0%,23,22
2135,W,65.0%,23,22
1489,W,58.0%,23,22
1455,W,75.0%,23,22
2673,W,44.0%,23,22
2920,W,70.0%,23,22
261,W,54.0%,23,22
1291,W,65.0%,23,22
2199,W,56.0%,23,22
1931,W,56.0%,23,22
2983,W,46.0%,23,22
2788,W,57.0%,23,22
2041,W,65.0%,23,22
3901,W,73.0%,23,22
3972,W,43.0%,23,22
3239,W,50.0%,23,22
1025,W,79.0%,23,22
160,W,69.0%,23,22
3062,W,56.0%,23,22
793,W,55.0%,23,22
1228,W,86.0%,23,22
2685,W,78.0%,23,22
3377,W,62.0%,23,22
3057,W,63.0%,23,22
115,W,64.0%,23,22
1270,W,63.0%,23,22
2371,W,42.0%,23,22
536,W,68.0%,23,22
84,W,59.0%,23,22
583,W,69.0%,23,22
1507,W,46.0%,23,22
1751,W,58.0%,23,22
3543,W,61.0%,23,22
3093,W,75.0%,23,22
1076,W,76.0%,23,22
816,W,55.0%,23,22
3097,W,71.0%,23,22
1254,W,59.0%,23,22
3931,W,62.0%,23,22
1449,W,78.0%,23,22
3521,W,86.0%,23,22
151,W,51.0%,23,22
2830,W,42.0%,23,22
396,W,72.0%,23,22
835,W,51.0%,23,22
2803,W,68.0%,23,22
3342,W,72.0%,23,22
2321,W,47.0%,23,22
1614,W,77.0%,23,22
1057,W,67.0%,23,22
3581,W,58.0%,23,22
776,W,60.0%,23,22
1747,W,87.0%,23,22
3623,W,83.0%,23,22
3911,W,54.0%,23,22
1286,W,70.0%,23,22
1478,W,68.0%,23,22
1782,W,65.0%,23,22
917,W,61.0%,23,22
2770,W,80.0%,23,22
3890,W,73.0%,23,22
444,W,75.0%,23,22
1215,W,71.0%,23,22
1195,W,57.0%,23,22
3016,W,65.0%,23,22
2310,W,59.0%,23,22
371,W,48.0%,23,22
24,W,45.0%,23,22
445,W,63.0%,23,22
425,W,51.0%,23,22
683,W,84.0%,23,22
3840,W,73.0%,23,22
1166,W,61.0%,23,22
1649,W,75.0%,23,22
3730,W,68.0%,23,22
2792,W,60.0%,23,22
804,W,67.0%,23,22
580,W,84.0%,23,22
2652,W,64.0%,23,22
2595,W,79.0%,23,22
2082,W,79.0%,23,22
3373,W,64.0%,23,22
2518,W,58.0%,23,22
1627,W,48.0%,23,22
3561,W,63.0%,23,22
2739,W,64.0%,23,22
3997,W,51.0%,23,22
1153,W,60.0%,23,22
3386,W,80.0%,23,22
969,W,61.0%,23,22
398,W,42.0%,23,22
327,W,51.0%,23,22
1878,W,48.0%,23,22
694,W,73.0%,23,22
3070,W,62.0%,23,22
1116,W,66.0%,23,22
946,W,63.0%,23,22
47,W,48.0%,23,22
3478,W,66.0%,23,22
3428,W,35.0%,23,22
1350,W,68.0%,23,22
2213,W,58.0%,23,22
1292,W,76.0%,23,22
2574,W,75.0%,23,22
2360,W,79.0%,23,22
3260,W,53.0%,23,22
2424,W,78.0%,23,22
2712,W,48.0%,23,22
503,W,69.0%,23,22
3698,W,53.0%,23,22
2802,W,58.0%,23,22
2818,W,62.0%,23,22
657,W,47.0%,23,22
2410,W,64.0%,23,22
1333,W,58.0%,23,22
3564,W,68.0%,23,22
1630,W,55.0%,23,22
1521,W,66.0%,23,22
2190,W,64.0%,23,22
1610,W,68.0%,23,22
1198,W,60.0%,23,22
1850,W,68.0%,23,22
1160,W,62.0%,23,22
3820,W,50.0%,23,22
229,W,53.0%,23,22
443,W,69.0%,23,22
1574,W,68.0%,23,22
2006,W,78.0%,23,22
34,W,59.0%,23,22
3847,W,69.0%,23,22
2252,W,54.0%,23,22
3673,W,75.0%,23,22
778,W,65.0%,23,22
1753,W,59.0%,23,22
676,W,72.0%,23,22
2158,W,83.0%,23,22
1241,W,46.0%,23,22
1484,W,63.0%,23,22
1037,W,72.0%,23,22
815,W,74.0%,23,22
3575,W,45.0%,23,22
1804,W,39.0%,23,22
2607,W,68.0%,23,22
2508,W,69.0%,23,22
2642,W,61.0%,23,22
3103,W,40.0%,23,22
2302,W,60.0%,23,22
148,W,53.0%,23,22
1062,W,78.0%,23,22
850,W,63.0%,23,22
128,W,71.0%,23,22
3353,W,51.0%,23,22
2276,W,73.0%,23,22
2689,W,69.0%,23,22
2379,W,65.0%,23,22
1289,W,62.0%,23,22
3507,W,67.0%,23,22
1416,W,63.0%,23,22
2021,W,67.0%,23,22
2440,W,67.0%,23,22
705,W,65.0%,23,22
1935,W,67.0%,23,22
135,W,63.0%,23,22
3841,W,68.0%,23,22
1023,W,58.0%,23,22
567,W,57.0%,23,22
1352,W,62.0%,23,22
1173,W,59.0%,23,22
2752,W,57.0%,23,22
1710,W,59.0%,23,22
3400,W,70.0%,23,22
857,W,49.0%,23,22
2884,W,63.0%,23,22
2942,W,68.0%,23,22
1792,W,54.0%,23,22
2511,W,63.0%,23,22
1176,W,63.0%,23,22
3830,W,69.0%,23,22
2765,W,79.0%,23,22
623,W,73.0%,23,22
907,W,66.0%,23,22
3352,W,57.0%,23,22
3667,W,65.0%,23,22
863,W,73.0%,23,22
3629,W,53.0%,23,22
722,W,62.0%,23,22
2352,W,69.0%,23,22
2929,W,54.0%,23,22
342,W,70.0%,23,22
3523,W,53.0%,23,22
2634,W,62.0%,23,22
637,W,76.0%,23,22
1978,W,39.0%,23,22
3601,W,70.0%,23,22
2226,W,68.0%,23,22
1462,W,46.0%,23,22
2052,W,55.0%,23,22
855,W,61.0%,23,22
1096,W,68.0%,23,22
1230,W,84.0%,23,22
801,W,75.0%,23,22
408,W,69.0%,23,22
2448,W,57.0%,23,22
638,W,64.0%,23,22
2677,W,61.0%,23,22
195,W,51.0%,23,22
3609,W,63.0%,23,22
1941,W,67.0%,23,22
2722,W,65.0%,23,22
2842,W,71.0%,23,22
1033,W,71.0%,23,22
447,W,58.0%,23,22
219,W,54.0%,23,22
2801,W,45.0%,23,22
2786,W,71.0%,23,22
1192,W,59.0%,23,22
2876,W,68.0%,23,22
3658,W,86.0%,23,22
1014,W,59.0%,23,22
3087,W,92.0%,23,22
853,W,43.0%,23,22
2376,W,65.0%,23,22
656,W,60.0%,23,22
3381,W,72.0%,23,22
2263,W,64.0%,23,22
2533,W,70.0%,23,22
22,W,50.0%,23,22
423,W,57.0%,23,22
3312,W,74.0%,23,22
3773,W,58.0%,23,22
1568,W,73.0%,23,22
3842,W,78.0%,23,22
483,W,63.0%,23,22
2065,W,51.0%,23,22
3290,W,48.0%,23,22
2521,W,69.0%,23,22
3385,W,65.0%,23,22
3401,W,61.0%,23,22
2853,W,59.0%,23,22
2970,W,73.0%,23,22
3607,W,63.0%,23,22
755,W,61.0%,23,22
1862,W,78.0%,23,22
1243,W,65.0%,23,22
3875,W,66.0%,23,22
2693,W,53.0%,23,22
2132,W,54.0%,23,22
1516,W,76.0%,23,22
1165,W,65.0%,23,22
2450,W,60.0%,23,22
3717,W,58.0%,23,22
2421,W,66.0%,23,22
3487,W,65.0%,23,22
1704,W,54.0%,23,22
3095,W,64.0%,23,22
33,W,69.0%,23,22
2423,W,58.0%,23,22
802,W,69.0%,23,22
75,W,77.0%,23,22
1554,W,62.0%,23,22
238,W,69.0%,23,22
2238,W,54.0%,23,22
2605,W,84.0%,23,22
2865,W,82.0%,23,22
2318,W,44.0%,23,22
2655,W,72.0%,23,22
751,W,73.0%,23,22
1905,W,40.0%,23,22
3912,W,67.0%,23,22
548,W,77.0%,23,22
1262,W,74.0%,23,22
3032,W,58.0%,23,22
1534,W,63.0%,23,22
106,W,50.0%,23,22
2877,W,68.0%,23,22
2910,W,68.0%,23,22
2294,W,77.0%,23,22
843,W,59.0%,23,22
193,W,45.0%,23,22
2584,W,64.0%,23,22
2445,W,57.0%,23,22
3513,W,59.0%,23,22
2858,W,61.0%,23,22
2578,W,76.0%,23,22
1061,W,53.0%,23,22
3227,W,68.0%,23,22
3483,W,72.0%,23,22
3583,W,54.0%,23,22
1140,W,68.0%,23,22
1664,W,59.0%,23,22
707,W,54.0%,23,22
2005,W,70.0%,23,22
1265,W,62.0%,23,22
868,W,69.0%,23,22
2087,W,45.0%,23,22
1847,W,54.0%,23,22
2032,W,60.0%,23,22
2116,W,52.0%,23,22
3719,W,70.0%,23,22
1560,W,66.0%,23,22
3720,W,66.0%,23,22
71,W,62.0%,23,22
2481,W,53.0%,23,22
138,W,66.0%,23,22
3656,W,89.0%,23,22
2275,W,65.0%,23,22
998,W,74.0%,23,22
3030,W,63.0%,23,22
3652,W,71.0%,23,22
1818,W,72.0%,23,22
2054,W,75.0%,23,22
3923,W,74.0%,23,22
807,W,67.0%,23,22
2141,W,75.0%,23,22
3678,W,57.0%,23,22
2632,W,56.0%,23,22
3339,W,68.0%,23,22
644,W,57.0%,23,22
3984,W,89.0%,23,22
2103,W,61.0%,23,22
1391,W,74.0%,23,22
80,W,53.0%,23,22
1571,W,67.0%,23,22
1189,W,74.0%,23,22
3330,W,71.0%,23,22
3694,W,61.0%,23,22
62,W,45.0%,23,22
2119,W,70.0%,23,22
3010,W,58.0%,23,22
2083,W,63.0%,23,22
2891,W,73.0%,23,22
1607,W,65.0%,23,22
2797,W,58.0%,23,22
3035,W,73.0%,23,22
3975,W,61.0%,23,22
533,W,48.0%,23,22
2260,W,58.0%,23,22
1861,W,54.0%,23,22
1172,W,74.0%,23,22
3306,W,85.0%,23,22
1468,W,51.0%,23,22
2340,W,72.0%,23,22
1177,W,63.0%,23,22
2384,W,72.0%,23,22
2334,W,61.0%,23,22
573,W,64.0%,23,22
1497,W,90.0%,23,22
475,W,71.0%,23,22
769,W,74.0%,23,22
3323,W,69.0%,23,22
1891,W,72.0%,23,22
2663,W,78.0%,23,22
2353,W,61.0%,23,22
1491,W,61.0%,23,22
1765,W,57.0%,23,22
3174,W,59.0%,23,22
3387,W,74.0%,23,22
1749,W,55.0%,23,22
3663,W,62.0%,23,22
2166,W,54.0%,23,22
309,W,67.0%,23,22
3708,W,80.0%,23,22
2248,W,63.0%,23,22
2486,W,63.0%,23,22
2227,W,71.0%,23,22
2729,W,84.0%,23,22
1103,W,68.0%,23,22
2978,W,63.0%,23,22
320,W,77.0%,23,22
639,W,70.0%,23,22
2960,W,61.0%,23,22
3382,W,67.0%,23,22
2585,W,75.0%,23,22
2962,W,42.0%,23,22
3238,W,51.0%,23,22
1193,W,56.0%,23,22
680,W,71.0%,23,22
3917,W,63.0%,23,22
3497,W,69.0%,23,22
3177,W,71.0%,23,22
726,W,62.0%,23,22
3511,W,60.0%,23,22
1408,W,52.0%,23,22
2969,W,72.0%,23,22
1700,W,70.0%,23,22
1159,W,53.0%,23,22
407,W,60.0%,23,22
1815,W,74.0%,23,22
1679,W,62.0%,23,22
1342,W,54.0%,23,22
2921,W,82.0%,23,22
2086,W,57.0%,23,22
3958,W,59.0%,23,22
1923,W,58.0%,23,22
3188,W,60.0%,23,22
2807,W,61.0%,23,22
2928,W,77.0%,23,22
323,W,66.0%,23,22
352,W,61.0%,23,22
