MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
1040,W,65.0%,23,23
4704,W,72.0%,23,23
4723,W,54.0%,23,23
3090,W,61.0%,23,23
252,W,45.0%,23,23
5321,W,75.0%,23,23
1484,W,62.0%,23,23
3835,W,54.0%,23,23
2781,W,62.0%,23,23
221,W,59.0%,23,23
3165,W,84.0%,23,23
1254,W,72.0%,23,23
4883,W,79.0%,23,23
5143,W,60.0%,23,23
488,W,68.0%,23,23
2515,W,69.0%,23,23
3663,W,55.0%,23,23
3326,W,81.0%,23,23
4214,W,65.0%,23,23
3099,W,47.0%,23,23
4901,W,57.0%,23,23
650,W,68.0%,23,23
1486,W,52.0%,23,23
3484,W,62.0%,23,23
4808,W,95.0%,23,23
618,W,59.0%,23,23
4350,W,52.0%,23,23
3754,W,63.0%,23,23
1982,W,66.0%,23,23
429,W,59.0%,23,23
4087,W,83.0%,23,23
3322,W,72.0%,23,23
2395,W,54.0%,23,23
4666,W,58.0%,23,23
788,W,37.0%,23,23
229,W,67.0%,23,23
4763,W,69.0%,23,23
4360,W,60.0%,23,23
1772,W,87.0%,23,23
1118,W,54.0%,23,23
3895,W,52.0%,23,23
4991,W,55.0%,23,23
3720,W,67.0%,23,23
3719,W,72.0%,23,23
660,W,56.0%,23,23
2411,W,59.0%,23,23
2085,W,75.0%,23,23
3949,W,65.0%,23,23
3528,W,74.0%,23,23
1586,W,64.0%,23,23
1456,W,73.0%,23,23
2393,W,77.0%,23,23
3532,W,62.0%,23,23
76,W,53.0%,23,23
3491,W,61.0%,23,23
1160,W,42.0%,23,23
1295,W,67.0%,23,23
3931,W,72.0%,23,23
637,W,64.0%,23,23
4941,W,66.0%,23,23
2404,W,59.0%,23,23
932,W,75.0%,23,23
1816,W,58.0%,23,23
4866,W,61.0%,23,23
2755,W,86.0%,23,23
1760,W,73.0%,23,23
5055,W,79.0%,23,23
4599,W,45.0%,23,23
1065,W,63.0%,23,23
4209,W,48.0%,23,23
2216,W,49.0%,23,23
4461,W,66.0%,23,23
666,W,65.0%,23,23
1374,W,75.0%,23,23
5087,W,76.0%,23,23
2339,W,68.0%,23,23
339,W,89.0%,23,23
1807,W,64.0%,23,23
1153,W,59.0%,23,23
2093,W,67.0%,23,23
2729,W,42.0%,23,23
531,W,66.0%,23,23
4442,W,62.0%,23,23
3023,W,86.0%,23,23
4935,W,53.0%,23,23
1840,W,62.0%,23,23
4597,W,83.0%,23,23
2415,W,69.0%,23,23
4619,W,66.0%,23,23
746,W,81.0%,23,23
3149,W,54.0%,23,23
3537,W,76.0%,23,23
4264,W,77.0%,23,23
3762,W,67.0%,23,23
5167,W,76.0%,23,23
3272,W,60.0%,23,23
2078,W,56.0%,23,23
228,W,68.0%,23,23
4480,W,67.0%,23,23
3329,W,67.0%,23,23
100,W,62.0%,23,23
283,W,49.0%,23,23
188,W,51.0%,23,23
134,W,82.0%,23,23
164,W,78.0%,23,23
4070,W,71.0%,23,23
1611,W,73.0%,23,23
2288,W,64.0%,23,23
657,W,51.0%,23,23
1608,W,61.0%,23,23
1195,W,59.0%,23,23
1419,W,68.0%,23,23
653,W,48.0%,23,23
3264,W,62.0%,23,23
5228,W,54.0%,23,23
2674,W,59.0%,23,23
2815,W,57.0%,23,23
2707,W,66.0%,23,23
4379,W,52.0%,23,23
3154,W,60.0%,23,23
5045,W,61.0%,23,23
