MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
1279,W,86.0%,23,21
699,W,63.0%,23,21
2900,W,70.0%,23,21
3034,W,81.0%,23,21
3062,W,63.0%,23,21
152,W,68.0%,23,21
1468,W,57.0%,23,21
65,W,68.0%,23,21
416,W,55.0%,23,21
2929,W,61.0%,23,21
602,W,56.0%,23,21
3338,W,63.0%,23,21
909,W,63.0%,23,21
596,W,45.0%,23,21
2931,W,64.0%,23,21
3184,W,71.0%,23,21
1447,W,69.0%,23,21
2700,W,53.0%,23,21
3636,W,65.0%,23,21
1038,W,70.0%,23,21
1969,W,63.0%,23,21
1835,W,65.0%,23,21
3383,W,60.0%,23,21
2303,W,79.0%,23,21
2440,W,75.0%,23,21
621,W,59.0%,23,21
796,W,66.0%,23,21
979,W,68.0%,23,21
3279,W,52.0%,23,21
3556,W,80.0%,23,21
2914,W,65.0%,23,21
1202,W,65.0%,23,21
817,W,51.0%,23,21
3313,W,64.0%,23,21
2449,W,63.0%,23,21
2110,W,66.0%,23,21
1367,W,55.0%,23,21
1255,W,53.0%,23,21
845,W,61.0%,23,21
1429,W,65.0%,23,21
1088,W,62.0%,23,21
3317,W,41.0%,23,21
1326,W,52.0%,23,21
75,W,45.0%,23,21
2975,W,67.0%,23,21
3370,W,71.0%,23,21
3544,W,73.0%,23,21
908,W,56.0%,23,21
2812,W,90.0%,23,21
1641,W,45.0%,23,21
1822,W,49.0%,23,21
426,W,70.0%,23,21
3374,W,70.0%,23,21
1509,W,63.0%,23,21
2166,W,62.0%,23,21
1809,W,71.0%,23,21
2550,W,53.0%,23,21
1531,W,85.0%,23,21
1144,W,61.0%,23,21
941,W,59.0%,23,21
1774,W,77.0%,23,21
60,W,91.0%,23,21
127,W,67.0%,23,21
2465,W,74.0%,23,21
2593,W,75.0%,23,21
2792,W,73.0%,23,21
3638,W,79.0%,23,21
1439,W,49.0%,23,21
567,W,48.0%,23,21
1445,W,56.0%,23,21
2453,W,77.0%,23,21
2148,W,67.0%,23,21
1681,W,85.0%,23,21
2357,W,56.0%,23,21
824,W,58.0%,23,21
2589,W,61.0%,23,21
2221,W,53.0%,23,21
1103,W,59.0%,23,21
2917,W,72.0%,23,21
1642,W,50.0%,23,21
645,W,68.0%,23,21
67,W,73.0%,23,21
667,W,66.0%,23,21
2432,W,61.0%,23,21
3329,W,45.0%,23,21
462,W,65.0%,23,21
1201,W,58.0%,23,21
