MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
3011,W,57.0%,23,20
3232,W,69.0%,23,20
1859,W,52.0%,23,20
2240,W,69.0%,23,20
474,W,76.0%,23,20
453,W,74.0%,23,20
2822,W,69.0%,23,20
652,W,67.0%,23,20
2219,W,62.0%,23,20
3021,W,55.0%,23,20
2624,W,59.0%,23,20
1610,W,70.0%,23,20
722,W,69.0%,23,20
1899,W,73.0%,23,20
264,W,75.0%,23,20
1693,W,69.0%,23,20
9,W,61.0%,23,20
676,W,79.0%,23,20
2694,W,53.0%,23,20
2480,W,56.0%,23,20
1644,W,84.0%,23,20
1816,W,63.0%,23,20
3164,W,57.0%,23,20
1745,W,76.0%,23,20
100,W,60.0%,23,20
399,W,83.0%,23,20
1825,W,51.0%,23,20
1171,W,67.0%,23,20
1909,W,66.0%,23,20
3003,W,47.0%,23,20
3277,W,61.0%,23,20
1130,W,61.0%,23,20
1994,W,59.0%,23,20
71,W,60.0%,23,20
2550,W,68.0%,23,20
698,W,91.0%,23,20
2063,W,72.0%,23,20
1907,W,69.0%,23,20
1631,W,45.0%,23,20
197,W,53.0%,23,20
2639,W,75.0%,23,20
33,W,88.0%,23,20
17,W,84.0%,23,20
619,W,62.0%,23,20
1647,W,40.0%,23,20
1790,W,71.0%,23,20
400,W,60.0%,23,20
1573,W,48.0%,23,20
787,W,66.0%,23,20
1027,W,51.0%,23,20
1332,W,58.0%,23,20
909,W,68.0%,23,20
2266,W,69.0%,23,20
1294,W,76.0%,23,20
2783,W,61.0%,23,20
318,W,74.0%,23,20
151,W,56.0%,23,20
789,W,63.0%,23,20
547,W,59.0%,23,20
1074,W,56.0%,23,20
1116,W,67.0%,23,20
574,W,64.0%,23,20
1287,W,79.0%,23,20
3220,W,57.0%,23,20
2040,W,72.0%,23,20
495,W,71.0%,23,20
1828,W,66.0%,23,20
766,W,33.0%,23,20
2011,W,82.0%,23,20
1189,W,48.0%,23,20
2311,W,53.0%,23,20
2488,W,81.0%,23,20
2062,W,61.0%,23,20
1884,W,66.0%,23,20
2704,W,59.0%,23,20
1386,W,79.0%,23,20
1774,W,55.0%,23,20
3118,W,68.0%,23,20
2808,W,64.0%,23,20
563,W,51.0%,23,20
864,W,83.0%,23,20
1866,W,64.0%,23,20
2203,W,76.0%,23,20
2534,W,78.0%,23,20
2615,W,73.0%,23,20
628,W,85.0%,23,20
472,W,59.0%,23,20
341,W,73.0%,23,20
1493,W,57.0%,23,20
1839,W,71.0%,23,20
3054,W,64.0%,23,20
1377,W,74.0%,23,20
924,W,50.0%,23,20
2276,W,59.0%,23,20
2324,W,70.0%,23,20
2901,W,72.0%,23,20
1771,W,61.0%,23,20
48,W,62.0%,23,20
2490,W,74.0%,23,20
647,W,67.0%,23,20
1067,W,70.0%,23,20
2797,W,60.0%,23,20
1022,W,75.0%,23,20
2971,W,66.0%,23,20
2892,W,66.0%,23,20
3088,W,68.0%,23,20
2625,W,68.0%,23,20
1843,W,59.0%,23,20
1526,W,61.0%,23,20
843,W,70.0%,23,20
2166,W,61.0%,23,20
2902,W,69.0%,23,20
3140,W,66.0%,23,20
2680,W,65.0%,23,20
1905,W,69.0%,23,20
1429,W,69.0%,23,20
1762,W,50.0%,23,20
2863,W,46.0%,23,20
680,W,75.0%,23,20
378,W,60.0%,23,20
82,W,52.0%,23,20
1733,W,56.0%,23,20
2939,W,55.0%,23,20
43,W,53.0%,23,20
11,W,84.0%,23,20
2224,W,45.0%,23,20
2963,W,61.0%,23,20
49,W,52.0%,23,20
2993,W,68.0%,23,20
2516,W,58.0%,23,20
