MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
3808,W,78.0%,23,22
925,W,72.0%,23,22
2211,W,59.0%,23,22
2062,W,82.0%,23,22
1628,W,51.0%,23,22
2810,W,46.0%,23,22
1393,W,87.0%,23,22
3540,W,72.0%,23,22
2304,W,50.0%,23,22
1129,W,81.0%,23,22
542,W,77.0%,23,22
2539,W,52.0%,23,22
439,W,69.0%,23,22
2526,W,73.0%,23,22
2590,W,69.0%,23,22
2859,W,58.0%,23,22
709,W,62.0%,23,22
3294,W,56.0%,23,22
3542,W,60.0%,23,22
3184,W,59.0%,23,22
2688,W,50.0%,23,22
1279,W,65.0%,23,22
462,W,66.0%,23,22
1902,W,71.0%,23,22
1183,W,69.0%,23,22
3794,W,67.0%,23,22
16,W,55.0%,23,22
3154,W,61.0%,23,22
1498,W,65.0%,23,22
2333,W,61.0%,23,22
1569,W,70.0%,23,22
414,W,67.0%,23,22
1724,W,82.0%,23,22
2398,W,69.0%,23,22
3769,W,65.0%,23,22
3613,W,60.0%,23,22
2411,W,54.0%,23,22
2603,W,70.0%,23,22
3313,W,61.0%,23,22
3193,W,64.0%,23,22
1741,W,66.0%,23,22
1696,W,62.0%,23,22
759,W,70.0%,23,22
1976,W,48.0%,23,22
2681,W,63.0%,23,22
2938,W,65.0%,23,22
1213,W,66.0%,23,22
970,W,68.0%,23,22
1953,W,48.0%,23,22
3858,W,81.0%,23,22
1261,W,57.0%,23,22
3752,W,62.0%,23,22
3897,W,58.0%,23,22
2465,W,52.0%,23,22
797,W,78.0%,23,22
1231,W,60.0%,23,22
3832,W,56.0%,23,22
178,W,45.0%,23,22
3078,W,60.0%,23,22
777,W,55.0%,23,22
2473,W,53.0%,23,22
2256,W,64.0%,23,22
2215,W,62.0%,23,22
388,W,63.0%,23,22
3282,W,57.0%,23,22
368,W,72.0%,23,22
79,W,44.0%,23,22
2659,W,73.0%,23,22
936,W,70.0%,23,22
2343,W,77.0%,23,22
918,W,67.0%,23,22
3121,W,66.0%,23,22
1412,W,63.0%,23,22
981,W,82.0%,23,22
1526,W,47.0%,23,22
1283,W,65.0%,23,22
1863,W,66.0%,23,22
2913,W,56.0%,23,22
150,W,61.0%,23,22
2916,W,56.0%,23,22
1508,W,68.0%,23,22
2648,W,70.0%,23,22
1694,W,45.0%,23,22
