MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
2088,W,62.0%,23,23
779,W,61.0%,23,23
1863,W,75.0%,23,23
4131,W,76.0%,23,23
4144,W,60.0%,23,23
1129,W,72.0%,23,23
5198,W,68.0%,23,23
5350,W,41.0%,23,23
2958,W,63.0%,23,23
1409,W,53.0%,23,23
4876,W,71.0%,23,23
5026,W,73.0%,23,23
183,W,59.0%,23,23
786,W,85.0%,23,23
3822,W,88.0%,23,23
4166,W,76.0%,23,23
521,W,67.0%,23,23
3060,W,58.0%,23,23
3924,W,62.0%,23,23
1427,W,55.0%,23,23
615,W,27.0%,23,23
4325,W,66.0%,23,23
5088,W,67.0%,23,23
563,W,64.0%,23,23
35,W,65.0%,23,23
4706,W,47.0%,23,23
4834,W,53.0%,23,23
934,W,59.0%,23,23
2867,W,47.0%,23,23
2425,W,66.0%,23,23
3083,W,62.0%,23,23
3194,W,71.0%,23,23
4811,W,86.0%,23,23
711,W,61.0%,23,23
5325,W,68.0%,23,23
2000,W,56.0%,23,23
2114,W,68.0%,23,23
1901,W,59.0%,23,23
2546,W,52.0%,23,23
2329,W,76.0%,23,23
1193,W,64.0%,23,23
5030,W,65.0%,23,23
2056,W,65.0%,23,23
2771,W,55.0%,23,23
3211,W,67.0%,23,23
2913,W,57.0%,23,23
4206,W,58.0%,23,23
4777,W,50.0%,23,23
5163,W,52.0%,23,23
307,W,64.0%,23,23
1887,W,66.0%,23,23
1988,W,68.0%,23,23
4453,W,69.0%,23,23
3586,W,73.0%,23,23
2548,W,59.0%,23,23
5205,W,78.0%,23,23
2835,W,54.0%,23,23
2033,W,62.0%,23,23
2992,W,79.0%,23,23
2497,W,49.0%,23,23
3595,W,56.0%,23,23
623,W,70.0%,23,23
5225,W,66.0%,23,23
5125,W,64.0%,23,23
3243,W,67.0%,23,23
1684,W,74.0%,23,23
4836,W,52.0%,23,23
1201,W,70.0%,23,23
809,W,58.0%,23,23
3958,W,58.0%,23,23
1896,W,64.0%,23,23
5264,W,44.0%,23,23
2452,W,38.0%,23,23
582,W,69.0%,23,23
347,W,58.0%,23,23
2547,W,45.0%,23,23
4739,W,78.0%,23,23
5003,W,77.0%,23,23
1762,W,89.0%,23,23
369,W,73.0%,23,23
1701,W,78.0%,23,23
4205,W,80.0%,23,23
5406,W,53.0%,23,23
1396,W,73.0%,23,23
3769,W,69.0%,23,23
1005,W,61.0%,23,23
1264,W,64.0%,23,23
3393,W,48.0%,23,23
1805,W,52.0%,23,23
3190,W,50.0%,23,23
5303,W,70.0%,23,23
4674,W,68.0%,23,23
2953,W,69.0%,23,23
1142,W,73.0%,23,23
4904,W,55.0%,23,23
1448,W,62.0%,23,23
4653,W,53.0%,23,23
2824,W,70.0%,23,23
23,W,59.0%,23,23
640,W,62.0%,23,23
2375,W,75.0%,23,23
4125,W,66.0%,23,23
4626,W,54.0%,23,23
5146,W,67.0%,23,23
2164,W,47.0%,23,23
1415,W,64.0%,23,23
3324,W,47.0%,23,23
4916,W,54.0%,23,23
1338,W,73.0%,23,23
5123,W,83.0%,23,23
34,W,61.0%,23,23
2935,W,57.0%,23,23
5344,W,62.0%,23,23
701,W,81.0%,23,23
