MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
161,W,81.0%,23,21
2580,W,35.0%,23,21
3589,W,72.0%,23,21
518,W,67.0%,23,21
2657,W,57.0%,23,21
288,W,84.0%,23,21
257,W,61.0%,23,21
1363,W,56.0%,23,21
982,W,60.0%,23,21
827,W,59.0%,23,21
2117,W,49.0%,23,21
1862,W,64.0%,23,21
3558,W,71.0%,23,21
3518,W,61.0%,23,21
1882,W,64.0%,23,21
1183,W,80.0%,23,21
2538,W,59.0%,23,21
1686,W,57.0%,23,21
2251,W,72.0%,23,21
1385,W,58.0%,23,21
2488,W,64.0%,23,21
698,W,66.0%,23,21
2025,W,73.0%,23,21
935,W,46.0%,23,21
1019,W,69.0%,23,21
48,W,45.0%,23,21
1450,W,52.0%,23,21
2235,W,52.0%,23,21
2299,W,58.0%,23,21
1092,W,43.0%,23,21
3368,W,70.0%,23,21
2006,W,60.0%,23,21
2508,W,67.0%,23,21
1583,W,46.0%,23,21
3351,W,58.0%,23,21
329,W,54.0%,23,21
746,W,66.0%,23,21
1543,W,66.0%,23,21
2619,W,61.0%,23,21
1205,W,59.0%,23,21
403,W,71.0%,23,21
1302,W,64.0%,23,21
2876,W,80.0%,23,21
583,W,58.0%,23,21
1864,W,56.0%,23,21
495,W,69.0%,23,21
1763,W,71.0%,23,21
1776,W,73.0%,23,21
2603,W,81.0%,23,21
1003,W,59.0%,23,21
3006,W,63.0%,23,21
2862,W,57.0%,23,21
2642,W,50.0%,23,21
167,W,63.0%,23,21
1417,W,59.0%,23,21
2669,W,62.0%,23,21
2661,W,56.0%,23,21
1108,W,66.0%,23,21
1549,W,52.0%,23,21
1972,W,61.0%,23,21
1056,W,96.0%,23,21
736,W,63.0%,23,21
1199,W,59.0%,23,21
2461,W,74.0%,23,21
3477,W,74.0%,23,21
101,W,81.0%,23,21
3289,W,75.0%,23,21
1057,W,74.0%,23,21
734,W,73.0%,23,21
3392,W,40.0%,23,21
769,W,59.0%,23,21
644,W,59.0%,23,21
1441,W,73.0%,23,21
3193,W,36.0%,23,21
574,W,53.0%,23,21
2676,W,54.0%,23,21
3438,W,56.0%,23,21
2895,W,59.0%,23,21
2187,W,60.0%,23,21
3099,W,69.0%,23,21
1229,W,67.0%,23,21
802,W,81.0%,23,21
302,W,47.0%,23,21
2289,W,56.0%,23,21
465,W,70.0%,23,21
2791,W,50.0%,23,21
707,W,63.0%,23,21
317,W,58.0%,23,21
916,W,75.0%,23,21
546,W,67.0%,23,21
2769,W,73.0%,23,21
3075,W,52.0%,23,21
2566,W,59.0%,23,21
3359,W,62.0%,23,21
2539,W,63.0%,23,21
468,W,97.0%,23,21
3536,W,67.0%,23,21
2125,W,66.0%,23,21
1173,W,63.0%,23,21
433,W,61.0%,23,21
1767,W,70.0%,23,21
2927,W,54.0%,23,21
1053,W,66.0%,23,21
1742,W,50.0%,23,21
2013,W,61.0%,23,21
2586,W,73.0%,23,21
1294,W,73.0%,23,21
1992,W,67.0%,23,21
1223,W,52.0%,23,21
1668,W,37.0%,23,21
453,W,63.0%,23,21
3610,W,47.0%,23,21
539,W,82.0%,23,21
1508,W,68.0%,23,21
308,W,72.0%,23,21
1481,W,76.0%,23,21
1069,W,79.0%,23,21
2582,W,52.0%,23,21
2407,W,78.0%,23,21
3581,W,48.0%,23,21
2054,W,61.0%,23,21
176,W,84.0%,23,21
146,W,55.0%,23,21
2089,W,67.0%,23,21
2365,W,73.0%,23,21
1396,W,52.0%,23,21
607,W,69.0%,23,21
1392,W,55.0%,23,21
2874,W,53.0%,23,21
782,W,42.0%,23,21
3280,W,72.0%,23,21
964,W,60.0%,23,21
3500,W,78.0%,23,21
238,W,71.0%,23,21
1065,W,78.0%,23,21
1803,W,73.0%,23,21
2219,W,61.0%,23,21
924,W,65.0%,23,21
1486,W,67.0%,23,21
1150,W,58.0%,23,21
1028,W,60.0%,23,21
2061,W,74.0%,23,21
2647,W,71.0%,23,21
829,W,61.0%,23,21
625,W,70.0%,23,21
3243,W,71.0%,23,21
637,W,77.0%,23,21
2018,W,55.0%,23,21
2779,W,65.0%,23,21
134,W,70.0%,23,21
3018,W,69.0%,23,21
367,W,38.0%,23,21
3178,W,61.0%,23,21
3364,W,64.0%,23,21
3312,W,55.0%,23,21
451,W,60.0%,23,21
832,W,55.0%,23,21
826,W,66.0%,23,21
1653,W,61.0%,23,21
1586,W,71.0%,23,21
771,W,62.0%,23,21
3618,W,60.0%,23,21
3395,W,67.0%,23,21
1362,W,55.0%,23,21
3188,W,72.0%,23,21
15,W,65.0%,23,21
334,W,59.0%,23,21
1080,W,79.0%,23,21
1671,W,55.0%,23,21
1553,W,64.0%,23,21
1136,W,66.0%,23,21
3298,W,61.0%,23,21
183,W,73.0%,23,21
258,W,60.0%,23,21
2866,W,83.0%,23,21
2689,W,58.0%,23,21
578,W,59.0%,23,21
675,W,59.0%,23,21
1755,W,59.0%,23,21
2242,W,79.0%,23,21
904,W,53.0%,23,21
841,W,63.0%,23,21
610,W,81.0%,23,21
2222,W,80.0%,23,21
3585,W,76.0%,23,21
2841,W,55.0%,23,21
441,W,69.0%,23,21
335,W,60.0%,23,21
2278,W,73.0%,23,21
1193,W,82.0%,23,21
2438,W,74.0%,23,21
310,W,52.0%,23,21
994,W,68.0%,23,21
547,W,76.0%,23,21
1129,W,57.0%,23,21
1878,W,56.0%,23,21
2829,W,73.0%,23,21
237,W,73.0%,23,21
3543,W,51.0%,23,21
1118,W,80.0%,23,21
2035,W,82.0%,23,21
1740,W,77.0%,23,21
123,W,56.0%,23,21
455,W,64.0%,23,21
3230,W,51.0%,23,21
3622,W,79.0%,23,21
815,W,69.0%,23,21
153,W,73.0%,23,21
2127,W,57.0%,23,21
1682,W,77.0%,23,21
1346,W,62.0%,23,21
2781,W,65.0%,23,21
532,W,56.0%,23,21
1021,W,64.0%,23,21
2882,W,76.0%,23,21
2309,W,77.0%,23,21
927,W,74.0%,23,21
3517,W,64.0%,23,21
2719,W,68.0%,23,21
430,W,59.0%,23,21
2715,W,48.0%,23,21
2098,W,68.0%,23,21
1674,W,62.0%,23,21
875,W,67.0%,23,21
3447,W,72.0%,23,21
429,W,76.0%,23,21
1526,W,69.0%,23,21
243,W,60.0%,23,21
3540,W,74.0%,23,21
662,W,67.0%,23,21
475,W,62.0%,23,21
1724,W,71.0%,23,21
1418,W,69.0%,23,21
118,W,60.0%,23,21
2546,W,71.0%,23,21
3321,W,49.0%,23,21
2056,W,59.0%,23,21
1796,W,69.0%,23,21
2974,W,73.0%,23,21
816,W,61.0%,23,21
304,W,66.0%,23,21
3411,W,55.0%,23,21
164,W,88.0%,23,21
2567,W,64.0%,23,21
1475,W,72.0%,23,21
1361,W,72.0%,23,21
2302,W,73.0%,23,21
448,W,58.0%,23,21
3153,W,73.0%,23,21
1604,W,72.0%,23,21
2139,W,87.0%,23,21
1378,W,78.0%,23,21
2816,W,62.0%,23,21
2940,W,65.0%,23,21
1012,W,73.0%,23,21
218,W,66.0%,23,21
2499,W,66.0%,23,21
1975,W,70.0%,23,21
1316,W,88.0%,23,21
3165,W,56.0%,23,21
1718,W,56.0%,23,21
492,W,53.0%,23,21
344,W,44.0%,23,21
3290,W,60.0%,23,21
94,W,37.0%,23,21
3296,W,53.0%,23,21
1760,W,60.0%,23,21
1855,W,65.0%,23,21
2116,W,65.0%,23,21
144,W,47.0%,23,21
1045,W,66.0%,23,21
2126,W,48.0%,23,21
3342,W,42.0%,23,21
911,W,74.0%,23,21
2639,W,56.0%,23,21
615,W,52.0%,23,21
1837,W,72.0%,23,21
3328,W,53.0%,23,21
1141,W,68.0%,23,21
1519,W,77.0%,23,21
1650,W,66.0%,23,21
345,W,72.0%,23,21
1052,W,59.0%,23,21
1,W,71.0%,23,21
2590,W,62.0%,23,21
1603,W,75.0%,23,21
2167,W,91.0%,23,21
694,W,58.0%,23,21
2571,W,61.0%,23,21
3115,W,84.0%,23,21
1015,W,54.0%,23,21
691,W,74.0%,23,21
2048,W,68.0%,23,21
3150,W,84.0%,23,21
2570,W,80.0%,23,21
2541,W,49.0%,23,21
655,W,49.0%,23,21
2528,W,73.0%,23,21
1866,W,64.0%,23,21
2510,W,66.0%,23,21
666,W,70.0%,23,21
1096,W,70.0%,23,21
3620,W,53.0%,23,21
2381,W,63.0%,23,21
2264,W,68.0%,23,21
3206,W,84.0%,23,21
2832,W,68.0%,23,21
797,W,73.0%,23,21
2835,W,63.0%,23,21
654,W,51.0%,23,21
3043,W,62.0%,23,21
3145,W,73.0%,23,21
697,W,59.0%,23,21
3024,W,42.0%,23,21
2858,W,57.0%,23,21
3061,W,79.0%,23,21
25,W,85.0%,23,21
2998,W,61.0%,23,21
971,W,75.0%,23,21
3623,W,66.0%,23,21
2010,W,51.0%,23,21
1780,W,54.0%,23,21
1582,W,60.0%,23,21
1832,W,65.0%,23,21
1437,W,34.0%,23,21
3251,W,80.0%,23,21
2286,W,70.0%,23,21
2260,W,73.0%,23,21
1286,W,51.0%,23,21
2869,W,68.0%,23,21
3140,W,73.0%,23,21
272,W,65.0%,23,21
3487,W,63.0%,23,21
3642,W,65.0%,23,21
2805,W,59.0%,23,21
1884,W,57.0%,23,21
1546,W,71.0%,23,21
2469,W,60.0%,23,21
3465,W,49.0%,23,21
2248,W,60.0%,23,21
1271,W,74.0%,23,21
396,W,62.0%,23,21
2304,W,70.0%,23,21
3645,W,44.0%,23,21
2712,W,62.0%,23,21
1406,W,60.0%,23,21
3285,W,69.0%,23,21
265,W,63.0%,23,21
2066,W,61.0%,23,21
1849,W,59.0%,23,21
32,W,56.0%,23,21
2106,W,74.0%,23,21
1165,W,84.0%,23,21
742,W,58.0%,23,21
1983,W,72.0%,23,21
571,W,65.0%,23,21
1680,W,56.0%,23,21
1089,W,55.0%,23,21
2100,W,77.0%,23,21
3239,W,58.0%,23,21
2070,W,53.0%,23,21
1903,W,73.0%,23,21
251,W,72.0%,23,21
108,W,66.0%,23,21
34,W,72.0%,23,21
133,W,65.0%,23,21
631,W,74.0%,23,21
1581,W,66.0%,23,21
41,W,67.0%,23,21
2698,W,80.0%,23,21
2073,W,56.0%,23,21
2493,W,62.0%,23,21
760,W,62.0%,23,21
2240,W,70.0%,23,21
531,W,41.0%,23,21
663,W,73.0%,23,21
1761,W,84.0%,23,21
2009,W,85.0%,23,21
1561,W,64.0%,23,21
1369,W,68.0%,23,21
3470,W,57.0%,23,21
1152,W,69.0%,23,21
743,W,66.0%,23,21
3336,W,60.0%,23,21
1163,W,64.0%,23,21
2195,W,55.0%,23,21
949,W,49.0%,23,21
990,W,72.0%,23,21
907,W,56.0%,23,21
409,W,61.0%,23,21
1195,W,76.0%,23,21
2419,W,45.0%,23,21
496,W,48.0%,23,21
