MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
3265,W,46.0%,23,20
1112,W,66.0%,23,20
2292,W,48.0%,23,20
589,W,69.0%,23,20
1575,W,62.0%,23,20
301,W,73.0%,23,20
2652,W,67.0%,23,20
1438,W,64.0%,23,20
3106,W,67.0%,23,20
3211,W,67.0%,23,20
1539,W,71.0%,23,20
1719,W,70.0%,23,20
975,W,59.0%,23,20
595,W,47.0%,23,20
2791,W,67.0%,23,20
2588,W,71.0%,23,20
1854,W,67.0%,23,20
1166,W,63.0%,23,20
3026,W,61.0%,23,20
936,W,60.0%,23,20
1672,W,62.0%,23,20
2103,W,65.0%,23,20
1796,W,65.0%,23,20
186,W,80.0%,23,20
3271,W,69.0%,23,20
1576,W,64.0%,23,20
2018,W,54.0%,23,20
2888,W,74.0%,23,20
3046,W,41.0%,23,20
573,W,56.0%,23,20
703,W,59.0%,23,20
2081,W,49.0%,23,20
3096,W,72.0%,23,20
3028,W,68.0%,23,20
1743,W,52.0%,23,20
768,W,69.0%,23,20
2777,W,55.0%,23,20
1518,W,49.0%,23,20
538,W,52.0%,23,20
2341,W,64.0%,23,20
987,W,51.0%,23,20
1157,W,68.0%,23,20
2659,W,59.0%,23,20
822,W,55.0%,23,20
2377,W,76.0%,23,20
2749,W,58.0%,23,20
2810,W,63.0%,23,20
1757,W,78.0%,23,20
2634,W,78.0%,23,20
1419,W,56.0%,23,20
294,W,70.0%,23,20
979,W,69.0%,23,20
1817,W,62.0%,23,20
2579,W,57.0%,23,20
2956,W,62.0%,23,20
2877,W,71.0%,23,20
1383,W,74.0%,23,20
2734,W,53.0%,23,20
665,W,81.0%,23,20
828,W,83.0%,23,20
1930,W,73.0%,23,20
874,W,72.0%,23,20
1124,W,74.0%,23,20
2164,W,81.0%,23,20
1641,W,61.0%,23,20
1207,W,77.0%,23,20
549,W,54.0%,23,20
539,W,52.0%,23,20
1069,W,68.0%,23,20
1836,W,68.0%,23,20
760,W,52.0%,23,20
496,W,70.0%,23,20
565,W,59.0%,23,20
1881,W,31.0%,23,20
3228,W,67.0%,23,20
1639,W,61.0%,23,20
2866,W,68.0%,23,20
2622,W,49.0%,23,20
1568,W,72.0%,23,20
2736,W,69.0%,23,20
2539,W,68.0%,23,20
2573,W,78.0%,23,20
252,W,62.0%,23,20
2885,W,75.0%,23,20
2467,W,64.0%,23,20
930,W,77.0%,23,20
2607,W,63.0%,23,20
712,W,91.0%,23,20
2354,W,36.0%,23,20
2684,W,87.0%,23,20
1046,W,52.0%,23,20
1813,W,56.0%,23,20
2326,W,64.0%,23,20
157,W,85.0%,23,20
2439,W,78.0%,23,20
2983,W,60.0%,23,20
2799,W,70.0%,23,20
436,W,39.0%,23,20
2498,W,58.0%,23,20
3227,W,53.0%,23,20
2811,W,56.0%,23,20
1969,W,63.0%,23,20
1463,W,55.0%,23,20
2755,W,62.0%,23,20
814,W,66.0%,23,20
757,W,66.0%,23,20
2511,W,69.0%,23,20
1549,W,74.0%,23,20
1738,W,84.0%,23,20
1058,W,69.0%,23,20
1981,W,63.0%,23,20
1862,W,52.0%,23,20
3147,W,44.0%,23,20
1882,W,55.0%,23,20
2363,W,76.0%,23,20
2891,W,66.0%,23,20
763,W,54.0%,23,20
1636,W,62.0%,23,20
1818,W,60.0%,23,20
1278,W,61.0%,23,20
1160,W,65.0%,23,20
2531,W,62.0%,23,20
1178,W,60.0%,23,20
2995,W,48.0%,23,20
2743,W,72.0%,23,20
1878,W,58.0%,23,20
442,W,51.0%,23,20
1791,W,67.0%,23,20
2135,W,60.0%,23,20
