MATRIC#,SEASON,SURVEY_SCORE,STARTINGYR,MATRICYR
3181,W,46.0%,23,22
1687,W,59.0%,23,22
2070,W,73.0%,23,22
2332,W,67.0%,23,22
1358,W,85.0%,23,22
2662,W,76.0%,23,22
2837,W,52.0%,23,22
39,W,63.0%,23,22
1722,W,76.0%,23,22
19,W,68.0%,23,22
280,W,67.0%,23,22
621,W,66.0%,23,22
442,W,51.0%,23,22
1615,W,73.0%,23,22
248,W,43.0%,23,22
2188,W,82.0%,23,22
2639,W,46.0%,23,22
891,W,54.0%,23,22
2104,W,66.0%,23,22
685,W,52.0%,23,22
143,W,55.0%,23,22
1946,W,39.0%,23,22
1174,W,83.0%,23,22
3859,W,61.0%,23,22
2702,W,53.0%,23,22
1079,W,70.0%,23,22
1227,W,71.0%,23,22
1682,W,69.0%,23,22
155,W,70.0%,23,22
1814,W,70.0%,23,22
1580,W,69.0%,23,22
1877,W,80.0%,23,22
403,W,73.0%,23,22
78,W,56.0%,23,22
204,W,56.0%,23,22
1325,W,62.0%,23,22
3128,W,61.0%,23,22
3142,W,67.0%,23,22
2244,W,56.0%,23,22
1071,W,81.0%,23,22
2804,W,69.0%,23,22
2011,W,43.0%,23,22
1368,W,63.0%,23,22
1187,W,64.0%,23,22
1740,W,57.0%,23,22
3586,W,76.0%,23,22
1834,W,83.0%,23,22
81,W,62.0%,23,22
2629,W,81.0%,23,22
2883,W,66.0%,23,22
587,W,55.0%,23,22
1760,W,67.0%,23,22
1499,W,67.0%,23,22
963,W,62.0%,23,22
1988,W,70.0%,23,22
2602,W,58.0%,23,22
2,W,51.0%,23,22
2854,W,67.0%,23,22
3632,W,71.0%,23,22
940,W,58.0%,23,22
1865,W,62.0%,23,22
3213,W,64.0%,23,22
3378,W,46.0%,23,22
3970,W,65.0%,23,22
3503,W,72.0%,23,22
3039,W,64.0%,23,22
1734,W,66.0%,23,22
990,W,73.0%,23,22
2568,W,62.0%,23,22
203,W,63.0%,23,22
1242,W,63.0%,23,22
3118,W,70.0%,23,22
2609,W,53.0%,23,22
3788,W,83.0%,23,22
3936,W,68.0%,23,22
268,W,54.0%,23,22
2058,W,58.0%,23,22
99,W,75.0%,23,22
2998,W,57.0%,23,22
68,W,62.0%,23,22
3814,W,63.0%,23,22
2676,W,52.0%,23,22
597,W,70.0%,23,22
3219,W,42.0%,23,22
3749,W,60.0%,23,22
1708,W,49.0%,23,22
588,W,69.0%,23,22
