starting_year,student_id,Fall,Winter,Spring
2023,2020-1,88.0,81.0,86.0
2023,2020-10,69.0,63.0,73.0
2023,2020-100,68.0,60.0,88.0
2023,2020-1000,58.0,55.0,65.0
2023,2020-1001,88.0,84.0,100.0
2023,2020-1002,62.0,54.0,59.0
2023,2020-1003,69.0,62.0,90.0
2023,2020-1004,64.0,56.0,60.0
2023,2020-1005,70.0,61.0,70.0
2023,2020-1006,63.0,57.0,80.0
2023,2020-1007,93.0,,96.0
2023,2020-1008,60.0,54.0,61.0
2023,2020-1009,74.0,73.0,69.0
2023,2020-101,69.0,68.0,69.0
2023,2020-1010,76.0,68.0,92.0
2023,2020-1011,85.0,84.0,100.0
2023,2020-1012,84.0,80.0,86.0
2023,2020-1013,77.0,75.0,78.0
2023,2020-1014,66.0,,66.0
2023,2020-1015,35.0,25.0,37.0
2023,2020-1016,71.0,64.0,92.0
2023,2020-1017,70.0,,66.0
2023,2020-1018,70.0,60.0,73.0
2023,2020-1019,72.0,71.0,89.0
2023,2020-102,79.0,70.0,77.0
2023,2020-1020,78.0,70.0,79.0
2023,2020-1021,73.0,70.0,71.0
2023,2020-1022,77.0,75.0,87.0
2023,2020-1023,72.0,,67.0
2023,2020-1024,81.0,74.0,76.0
2023,2020-1025,69.0,67.0,65.0
2023,2020-1026,74.0,,75.0
2023,2020-1027,59.0,51.0,71.0
2023,2020-1028,68.0,59.0,65.0
2023,2020-1029,65.0,61.0,66.0
2023,2020-103,68.0,58.0,78.0
2023,2020-1030,51.0,50.0,68.0
2023,2020-1031,52.0,46.0,71.0
2023,2020-1032,59.0,56.0,63.0
2023,2020-1033,87.0,,91.0
2023,2020-1034,69.0,67.0,84.0
2023,2020-1035,78.0,72.0,87.0
2023,2020-1036,70.0,69.0,68.0
2023,2020-1037,54.0,45.0,51.0
2023,2020-1038,71.0,70.0,66.0
2023,2020-1039,59.0,,67.0
2023,2020-104,71.0,,66.0
2023,2020-1040,40.0,,40.0
2023,2020-1041,73.0,70.0,70.0
2023,2020-1042,78.0,71.0,79.0
2023,2020-1043,63.0,,66.0
2023,2020-1044,69.0,68.0,81.0
2023,2020-1045,68.0,64.0,64.0
2023,2020-1046,53.0,52.0,52.0
2023,2020-1047,64.0,60.0,82.0
2023,2020-1048,69.0,59.0,73.0
2023,2020-1049,50.0,48.0,50.0
2023,2020-105,84.0,80.0,99.0
2023,2020-1050,70.0,68.0,67.0
2023,2020-1051,83.0,77.0,100.0
2023,2020-1052,79.0,76.0,74.0
2023,2020-1053,68.0,62.0,65.0
2023,2020-1054,88.0,,96.0
2023,2020-1055,71.0,63.0,91.0
2023,2020-1056,65.0,63.0,60.0
2023,2020-1057,78.0,,82.0
2023,2020-1058,74.0,69.0,96.0
2023,2020-1059,77.0,76.0,77.0
2023,2020-106,70.0,65.0,89.0
2023,2020-1060,70.0,,83.0
2023,2020-1061,87.0,83.0,91.0
2023,2020-1062,73.0,72.0,83.0
2023,2020-1063,75.0,72.0,75.0
2023,2020-1064,59.0,52.0,57.0
2023,2020-1065,78.0,,82.0
2023,2020-1066,64.0,57.0,59.0
2023,2020-1067,73.0,70.0,75.0
2023,2020-1068,78.0,,97.0
2023,2020-1069,73.0,68.0,71.0
2023,2020-107,68.0,61.0,87.0
2023,2020-1070,53.0,43.0,57.0
2023,2020-1071,73.0,66.0,70.0
2023,2020-1072,83.0,73.0,78.0
2023,2020-1073,72.0,,73.0
2023,2020-1074,61.0,56.0,70.0
2023,2020-1075,65.0,61.0,78.0
2023,2020-1076,61.0,52.0,64.0
2023,2020-1077,70.0,,70.0
2023,2020-1078,61.0,51.0,62.0
2023,2020-1079,81.0,80.0,84.0
2023,2020-108,70.0,67.0,66.0
2023,2020-1080,75.0,65.0,83.0
