Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2025-03-22,22,23:52,EDT,NW  12  G 18,10.00,Mostly Cloudy,BKN075,48.9,32,,,52%,45,,30,1015.9,,,,2025-03-25,3,2025
2025-03-23,23,00:52,EDT,N  12,10.00,Partly Cloudy,SCT070,48,30.9,,,52%,44,,30.02,1016.6,,,,2025-03-25,3,2025
2025-03-23,23,01:52,EDT,N  10,10.00,Partly Cloudy,SCT070,46,30,55,46,54%,42,,30.05,1017.3,,,,2025-03-25,3,2025
2025-03-23,23,02:52,EDT,N  13,10.00,A Few Clouds,FEW070,44.1,28,,,53%,38,,30.07,1018.2,,,,2025-03-25,3,2025
2025-03-23,23,03:52,EDT,N  14  G 18,10.00,Fair,CLR,43,27,,,53%,37,,30.08,1018.6,,,,2025-03-25,3,2025
2025-03-23,23,04:52,EDT,NE  9,10.00,Fair,CLR,39.9,26.1,,,58%,34,,30.11,1019.7,,,,2025-03-25,3,2025
2025-03-23,23,05:52,EDT,N  9,10.00,Fair,CLR,39,23,,,53%,33,,30.14,1020.5,,,,2025-03-25,3,2025
2025-03-23,23,06:52,EDT,N  7,10.00,A Few Clouds,FEW250,37.9,21.9,,,52%,33,,30.16,1021.3,,,,2025-03-25,3,2025
2025-03-23,23,07:52,EDT,N  8,10.00,Partly Cloudy,SCT250,37.9,21.9,46,36,52%,33,,30.19,1022.4,,,,2025-03-25,3,2025
2025-03-23,23,08:52,EDT,N  12,10.00,A Few Clouds,FEW250,39.9,21,,,47%,34,,30.2,1022.7,,,,2025-03-25,3,2025
2025-03-23,23,09:52,EDT,NE  7,10.00,Partly Cloudy,SCT250,43,23,,,45%,39,,30.21,1023.1,,,,2025-03-25,3,2025
2025-03-23,23,10:52,EDT,NW  7,10.00,Mostly Cloudy,FEW080 BKN250,44.1,23,,,43%,41,,30.21,1023.0,,,,2025-03-25,3,2025
2025-03-23,23,11:52,EDT,N  7,10.00,Mostly Cloudy,FEW120 BKN250,46.9,24.1,,,41%,44,,30.2,1022.6,,,,2025-03-25,3,2025
2025-03-23,23,12:52,EDT,Vrbl  6,10.00,Mostly Cloudy,FEW120 BKN250,50,24.1,,,36%,48,,30.18,1022.1,,,,2025-03-25,3,2025
2025-03-23,23,13:52,EDT,Vrbl  5,10.00,Mostly Cloudy,FEW110 BKN250,52,26.1,53.1,37.9,37%,,,30.16,1021.2,,,,2025-03-25,3,2025
2025-03-23,23,14:52,EDT,E  6,10.00,Partly Cloudy,FEW120 SCT250,55,27,,,34%,,,30.11,1019.6,,,,2025-03-25,3,2025
2025-03-23,23,15:52,EDT,Vrbl  5,10.00,Partly Cloudy,FEW120 SCT250,55.9,27,,,33%,,,30.1,1019.1,,,,2025-03-25,3,2025
2025-03-23,23,16:52,EDT,E  5,10.00,Mostly Cloudy,BKN120 BKN250,57,28,,,33%,,,30.08,1018.6,,,,2025-03-25,3,2025
2025-03-23,23,17:52,EDT,SE  7,10.00,Mostly Cloudy,BKN120 BKN250,57,28.9,,,34%,,,30.08,1018.6,,,,2025-03-25,3,2025
2025-03-23,23,18:52,EDT,SE  8,10.00,Mostly Cloudy,BKN120,55.9,28,,,34%,,,30.06,1018.1,,,,2025-03-25,3,2025
2025-03-23,23,19:52,EDT,SE  14  G 20,10.00,Overcast,BKN110 OVC200,55.9,28.9,57.9,52,36%,,,30.03,1017.0,,,,2025-03-25,3,2025
2025-03-23,23,20:52,EDT,SE  9,10.00,Overcast,BKN120 OVC200,51.1,28.9,,,43%,,,30.05,1017.7,,,,2025-03-25,3,2025
2025-03-23,23,21:52,EDT,SE  9,10.00,Overcast,OVC100,50,30,,,46%,47,,30.04,1017.3,,,,2025-03-25,3,2025
2025-03-23,23,22:52,EDT,SE  10,10.00,Mostly Cloudy,BKN110,50,33.1,,,52%,46,,30.02,1016.6,,,,2025-03-25,3,2025
2025-03-23,23,23:52,EDT,SE  10,10.00,Overcast,OVC100,50,35.1,,,57%,46,,30,1016.0,,,,2025-03-25,3,2025
2025-03-24,24,00:52,EDT,SE  9,10.00,Overcast,OVC100,48.9,37,,,64%,45,,29.97,1014.9,,,,2025-03-25,3,2025
2025-03-24,24,01:52,EDT,SE  9,10.00,Overcast,OVC020,48.9,39,55.9,48.9,69%,45,,29.96,1014.5,,,,2025-03-25,3,2025
2025-03-24,24,02:52,EDT,S  7,10.00,Overcast,OVC019,50,39.9,,,68%,48,,29.94,1013.9,,,,2025-03-25,3,2025
2025-03-24,24,03:52,EDT,SE  10  G 21,10.00,Overcast,OVC018,48.9,42.1,,,77%,45,,29.89,1012.3,,,,2025-03-25,3,2025
2025-03-24,24,04:52,EDT,SE  10,10.00,Overcast,OVC017,48.9,42.1,,,77%,45,,29.87,1011.4,,,,2025-03-25,3,2025
