Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2025-06-17,17,22:52,EDT,SE  5,10.00,Partly Cloudy,FEW017 FEW032 SCT150,73.9,73,,,97%,,,29.96,1014.1,,,,2025-06-20,6,2025
2025-06-17,17,23:52,EDT,SE  5,10.00,Overcast,OVC005,73.9,73,,,97%,,,29.95,1013.9,,,,2025-06-20,6,2025
2025-06-18,18,00:52,EDT,S  3,9.00,Overcast,OVC005,73.9,73,,,97%,,,29.95,1013.8,,,,2025-06-20,6,2025
2025-06-18,18,01:52,EDT,S  7,6.00,Fog/Mist,OVC003,75,73.9,78.1,73.9,96%,,73,29.93,1013.3,,,,2025-06-20,6,2025
2025-06-18,18,02:52,EDT,Calm,4.00,Fog/Mist,OVC003,75,73.9,,,96%,,73,29.94,1013.4,,,,2025-06-20,6,2025
2025-06-18,18,03:52,EDT,Calm,2.50,Fog/Mist,OVC002,73.9,73.9,,,100%,,,29.92,1013.0,,,,2025-06-20,6,2025
2025-06-18,18,04:52,EDT,E  3,2.00,Fog/Mist,OVC002,73.9,73.9,,,100%,,,29.91,1012.5,,,,2025-06-20,6,2025
2025-06-18,18,05:52,EDT,SE  6,1.00,Fog/Mist,OVC002,73.9,73.9,,,100%,,,29.91,1012.6,,,,2025-06-20,6,2025
2025-06-18,18,06:52,EDT,S  6,0.75,Fog/Mist,OVC002,75,73.9,,,96%,,73,29.93,1013.1,,,,2025-06-20,6,2025
2025-06-18,18,07:52,EDT,Calm,0.75,Light Drizzle Fog/Mist,OVC002,75,75,75,73.9,100%,,72,29.93,1013.3,,,,2025-06-20,6,2025
2025-06-18,18,08:52,EDT,Calm,2.00,Fog/Mist,OVC006,75.9,75,,,97%,,75,29.93,1013.2,,,,2025-06-20,6,2025
2025-06-18,18,09:52,EDT,Calm,7.00,Overcast,SCT008 OVC013,79,75,,,88%,,83,29.94,1013.6,,,,2025-06-20,6,2025
2025-06-18,18,10:52,EDT,Calm,10.00,Mostly Cloudy,BKN017 BKN250,82,73.9,,,77%,,88,29.93,1013.2,,,,2025-06-20,6,2025
2025-06-18,18,11:52,EDT,SW  5,10.00,Mostly Cloudy,BKN022 BKN100 BKN250,84,73.9,,,72%,,91,29.92,1012.7,,,,2025-06-20,6,2025
2025-06-18,18,12:52,EDT,NW  7,10.00,Mostly Cloudy,BKN030CB BKN043 BKN100 BKN250,82.9,75,,,77%,,90,29.9,1012.1,,,,2025-06-20,6,2025
2025-06-18,18,13:52,EDT,N  17  G 30,10.00,Mostly Cloudy,SCT020 BKN036CB BKN047 BKN130 BKN250,80.1,73,88,75,79%,,84,29.9,1012.2,,,,2025-06-20,6,2025
2025-06-18,18,14:52,EDT,Vrbl  6,3.00,Light Rain Fog/Mist,FEW009 BKN030CB BKN047 BKN130 BKN250,77,73.9,,,90%,,78,29.9,1012.1,0.2,,,2025-06-20,6,2025
2025-06-18,18,15:52,EDT,NE  6,10.00,Mostly Cloudy,FEW009 FEW048 BKN085 BKN150 BKN250,82,75,,,79%,,89,29.88,1011.5,0.02,,,2025-06-20,6,2025
2025-06-18,18,16:52,EDT,S  8,10.00,Mostly Cloudy,FEW030CB SCT095 BKN150 BKN250,84,78.1,,,82%,,95,29.87,1011.1,,0.22,,2025-06-20,6,2025
2025-06-18,18,17:52,EDT,SE  5,10.00,Thunderstorm,FEW020 BKN032CB BKN070 BKN180 BKN250,82.9,75.9,,,79%,,91,29.87,1011.1,,,,2025-06-20,6,2025
2025-06-18,18,18:52,EDT,Calm,10.00,Mostly Cloudy,FEW018 SCT040CB BKN070 BKN180 BKN250,82,72,,,72%,,87,29.88,1011.5,,,,2025-06-20,6,2025
2025-06-18,18,19:52,EDT,SE  5,10.00,Partly Cloudy,FEW040TCU FEW120 SCT180 SCT250,80.1,73,84.9,77,79%,,84,29.9,1012.1,,,0.22,2025-06-20,6,2025
2025-06-18,18,20:52,EDT,S  5,10.00,Partly Cloudy,FEW020 FEW080 SCT250,75.9,73.9,,,94%,,75,29.9,1012.3,,,,2025-06-20,6,2025
2025-06-18,18,21:52,EDT,S  5,10.00,A Few Clouds,FEW080 FEW250,75.9,73.9,,,94%,,75,29.92,1012.8,,,,2025-06-20,6,2025
2025-06-18,18,22:52,EDT,S  6,10.00,Fair,CLR,75,73.9,,,96%,,73,29.9,1012.1,,,,2025-06-20,6,2025
2025-06-18,18,23:52,EDT,S  6,10.00,Fair,CLR,75,73.9,,,96%,,73,29.9,1012.0,,,,2025-06-20,6,2025
2025-06-19,19,00:52,EDT,S  8,10.00,Fair,CLR,75,73,,,94%,,73,29.9,1012.2,,,,2025-06-20,6,2025
2025-06-19,19,01:52,EDT,S  8,10.00,Fair,CLR,73.9,72,80.1,73.9,94%,,,29.9,1012.2,,,,2025-06-20,6,2025
2025-06-19,19,02:52,EDT,S  8,10.00,Fair,CLR,73,71.1,,,94%,,,29.91,1012.4,,,,2025-06-20,6,2025
2025-06-19,19,03:52,EDT,S  6,10.00,Fair,CLR,72,71.1,,,97%,,,29.89,1011.9,,,,2025-06-20,6,2025
2025-06-19,19,04:52,EDT,S  7,10.00,Fair,CLR,73,71.1,,,94%,,,29.89,1011.6,,,,2025-06-20,6,2025
2025-06-19,19,05:52,EDT,S  9,10.00,Fair,CLR,73,71.1,,,94%,,,29.89,1011.7,,,,2025-06-20,6,2025
2025-06-19,19,06:52,EDT,S  8,10.00,A Few Clouds,FEW050,73,71.1,,,94%,,,29.89,1012.0,,,,2025-06-20,6,2025
2025-06-19,19,07:52,EDT,S  12,10.00,A Few Clouds,FEW070,75.9,72,75.9,72,88%,,76,29.89,1011.7,,,,2025-06-20,6,2025
2025-06-19,19,08:52,EDT,SW  13,10.00,A Few Clouds,FEW070,79,72,,,79%,,82,29.89,1011.7,,,,2025-06-20,6,2025
2025-06-19,19,09:52,EDT,SW  10  G 20,10.00,A Few Clouds,FEW070,82.9,72,,,70%,,88,29.88,1011.5,,,,2025-06-20,6,2025
2025-06-19,19,10:52,EDT,S  10,10.00,A Few Clouds,FEW028 FEW250,84.9,73,,,68%,,92,29.87,1011.2,,,,2025-06-20,6,2025
2025-06-19,19,11:52,EDT,SW  12,10.00,Partly Cloudy,FEW033 SCT250,86,70,,,59%,,91,29.86,1010.8,,,,2025-06-20,6,2025
2025-06-19,19,12:52,EDT,S  9,10.00,Mostly Cloudy,BKN040 BKN250,87.1,71.1,,,59%,,93,29.85,1010.4,,,,2025-06-20,6,2025
2025-06-19,19,13:52,EDT,SW  15  G 24,10.00,Mostly Cloudy,SCT044 BKN250,88,69.1,89.1,75.9,54%,,92,29.82,1009.3,,,,2025-06-20,6,2025
2025-06-19,19,14:52,EDT,S  15  G 25,10.00,Mostly Cloudy,FEW043TCU SCT140 BKN250,90,69.1,,,50%,,95,29.78,1008.0,,,,2025-06-20,6,2025
2025-06-19,19,16:52,EDT,Calm,7.00,Thunderstorm Light Rain,FEW013 SCT040CB BKN090 BKN200,70,68,,,93%,,,29.83,1009.1,0.43,0.43,,2025-06-20,6,2025
2025-06-19,19,17:52,EDT,Vrbl  5,10.00,Mostly Cloudy,FEW033CB BKN090 BKN250,73,70,,,90%,,,29.83,1009.1,0.01,,,2025-06-20,6,2025
2025-06-19,19,18:52,EDT,SW  7,10.00,Overcast,SCT050TCU BKN090 OVC200,75,71.1,,,88%,,75,29.81,1008.4,,,,2025-06-20,6,2025
2025-06-19,19,19:52,EDT,S  7,10.00,Mostly Cloudy,FEW044TCU BKN090 BKN200,73.9,71.1,91,69.1,91%,,,29.81,1008.4,,,0.44,2025-06-20,6,2025
2025-06-19,19,20:52,EDT,S  7,10.00,Light Rain,FEW047 BKN100 OVC200,73,70,,,90%,,,29.83,1009.1,,,,2025-06-20,6,2025
2025-06-19,19,21:52,EDT,SW  9,10.00,Partly Cloudy,SCT090 SCT200,70,66.9,,,90%,,,29.86,1010.1,,,,2025-06-20,6,2025
2025-06-19,19,22:52,EDT,SW  6,10.00,Mostly Cloudy,FEW050 BKN060,70,66,,,87%,,,29.88,1010.8,,,,2025-06-20,6,2025
2025-06-19,19,23:52,EDT,NW  15,10.00,Partly Cloudy,FEW050 SCT065,71.1,62.1,,,73%,,,29.9,1011.4,,,,2025-06-20,6,2025
2025-06-20,20,00:52,EDT,NW  14,10.00,A Few Clouds,FEW050,69.1,57.9,,,68%,,,29.92,1012.2,,,,2025-06-20,6,2025
2025-06-20,20,01:52,EDT,W  8,10.00,Fair,CLR,66.9,57,73.9,66.9,71%,,,29.95,1013.2,,,,2025-06-20,6,2025
2025-06-20,20,02:52,EDT,NW  14,10.00,Fair,CLR,66,55.9,,,70%,,,29.95,1013.2,,,,2025-06-20,6,2025
2025-06-20,20,03:52,EDT,NW  10,10.00,Fair,CLR,64.9,55.9,,,73%,,,29.95,1013.2,,,,2025-06-20,6,2025
2025-06-20,20,04:52,EDT,Calm,10.00,Fair,CLR,63,55.9,,,78%,,,29.95,1013.3,,,,2025-06-20,6,2025
2025-06-20,20,05:52,EDT,W  5,10.00,Fair,CLR,64,55.9,,,75%,,,29.95,1013.3,,,,2025-06-20,6,2025
2025-06-20,20,06:52,EDT,W  5,10.00,Fair,CLR,66,57,,,73%,,,30.03,1016.0,,,,2025-06-20,6,2025
