Date,Day,Date/Time,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Temp,Dew Point,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),Altimeter (in.),sea level (mb),1-Hour Precip,3-Hour Precip,6-Hour Precip,Data Retrieval Date,Obs_Month,Obs_Year,Hour,Station,Rolling 3-Hour Precip,Rolling 6-Hour Precip,Rolling 12-Hour Precip,Rolling 24-Hour Precip,Windspeed
2025-12-11,11,2025-12-11 17:53,17:53,EST,Calm,10,Fair,CLR,35.1,12,38,,,29.92,1013.5,0,0,0,2025-12-14,12,2025,17,KCHO,0,0,0,0,0
2025-12-11,11,2025-12-11 18:53,18:53,EST,W  3,10,Fair,CLR,32,12.9,45,,,29.93,1014,0,0,0,2025-12-14,12,2025,18,KCHO,0,0,0,0,3
2025-12-11,11,2025-12-11 19:53,19:53,EST,Calm,10,Fair,CLR,32,12.9,45,,,29.94,1014.3,0,0,0,2025-12-14,12,2025,19,KCHO,0,0,0,0,0
2025-12-11,11,2025-12-11 20:53,20:53,EST,W  3,10,Fair,CLR,30.9,12.9,47,,,29.96,1015,0,0,0,2025-12-14,12,2025,20,KCHO,0,0,0,0,3
2025-12-11,11,2025-12-11 21:53,21:53,EST,Calm,10,Fair,CLR,30.9,12.9,47,,,29.97,1015.4,0,0,0,2025-12-14,12,2025,21,KCHO,0,0,0,0,0
2025-12-11,11,2025-12-11 22:53,22:53,EST,Calm,10,Partly Cloudy,SCT050,32,12.9,45,,,29.99,1015.6,0,0,0,2025-12-14,12,2025,22,KCHO,0,0,0,0,0
2025-12-11,11,2025-12-11 23:53,23:53,EST,E  3,10,Fair,CLR,28,14,56,,,29.99,1015.8,0,0,0,2025-12-14,12,2025,23,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 0:53,0:53,EST,Calm,10,Fair,CLR,30,14,51,,,29.98,1015.6,0,0,0,2025-12-15,12,2025,0,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 1:53,1:53,EST,Calm,10,Fair,CLR,26.1,15.1,63,,,30.03,1017.1,0,0,0,2025-12-15,12,2025,1,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 2:53,2:53,EST,Calm,10,Fair,CLR,28.9,14,54,,,30.04,1017.4,0,0,0,2025-12-15,12,2025,2,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 3:53,3:53,EST,S  3,10,Fair,CLR,28,16,60,,,30.04,1017.7,0,0,0,2025-12-15,12,2025,3,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 4:53,4:53,EST,Calm,10,Fair,CLR,26.1,18,71,,,30.04,1017.7,0,0,0,2025-12-15,12,2025,4,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 5:53,5:53,EST,Calm,10,Overcast,OVC120,28.9,16,58,,,30.07,1018.6,0,0,0,2025-12-15,12,2025,5,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 6:53,6:53,EST,Calm,10,Mostly Cloudy,BKN110,28,21,75,,,30.09,1019.3,0,0,0,2025-12-15,12,2025,6,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 7:53,7:53,EST,NW  3,10,Mostly Cloudy,BKN110,28,19.9,72,,,30.11,1020.1,0,0,0,2025-12-15,12,2025,7,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 8:53,8:53,EST,SE  3,10,Overcast,OVC100,28.9,21.9,75,,,30.12,1020.4,0,0,0,2025-12-15,12,2025,8,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 9:53,9:53,EST,Calm,10,Overcast,OVC095,30.9,19.9,64,,,30.14,1021,0,0,0,2025-12-15,12,2025,9,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 10:53,10:53,EST,Vrbl  3,10,Overcast,BKN070 OVC085,34,16,48,,,30.15,1021.2,0,0,0,2025-12-15,12,2025,10,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 11:53,11:53,EST,Vrbl  5,10,Overcast,BKN060 OVC075,35.1,15.1,44,32,,30.13,1020.5,0,0,0,2025-12-15,12,2025,11,KCHO,0,0,0,0,5
2025-12-12,12,2025-12-12 12:53,12:53,EST,Vrbl  3,10,Mostly Cloudy,SCT070 BKN110,36,17.1,46,,,30.1,1019.6,0,0,0,2025-12-15,12,2025,12,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 13:53,13:53,EST,SW  5,10,Mostly Cloudy,BKN070,37,18,46,34,,30.09,1019.3,0,0,0,2025-12-15,12,2025,13,KCHO,0,0,0,0,5
2025-12-12,12,2025-12-12 14:53,14:53,EST,Calm,10,Overcast,OVC060,37,19,48,,,30.1,1019.6,0,0,0,2025-12-15,12,2025,14,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 15:53,15:53,EST,S  3,10,Overcast,OVC055,37,19,48,,,30.11,1019.9,0,0,0,2025-12-15,12,2025,15,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 16:53,16:53,EST,S  3,10,A Few Clouds,FEW050,36,19.9,52,,,30.11,1020.2,0,0,0,2025-12-15,12,2025,16,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 17:53,17:53,EST,S  3,10,Fair,CLR,30.9,19,61,,,30.13,1020.7,0,0,0,2025-12-15,12,2025,17,KCHO,0,0,0,0,3
2025-12-12,12,2025-12-12 18:53,18:53,EST,S  5,10,Fair,CLR,30,18,61,26,,30.13,1020.8,0,0,0,2025-12-15,12,2025,18,KCHO,0,0,0,0,5
2025-12-12,12,2025-12-12 19:53,19:53,EST,S  5,10,Fair,CLR,30.9,19,61,27,,30.14,1021,0,0,0,2025-12-15,12,2025,19,KCHO,0,0,0,0,5
2025-12-12,12,2025-12-12 20:53,20:53,EST,Calm,10,Fair,CLR,28.9,19,66,,,30.14,1021.2,0,0,0,2025-12-15,12,2025,20,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 21:53,21:53,EST,Calm,10,Fair,CLR,28,19,69,,,30.14,1021.1,0,0,0,2025-12-15,12,2025,21,KCHO,0,0,0,0,0
2025-12-12,12,2025-12-12 22:53,22:53,EST,S  5,10,Fair,CLR,26.1,19.9,78,21,,30.13,1020.8,0,0,0,2025-12-15,12,2025,22,KCHO,0,0,0,0,5
2025-12-12,12,2025-12-12 23:53,23:53,EST,Calm,10,Fair,CLR,25,19.9,81,,,30.13,1020.7,0,0,0,2025-12-15,12,2025,23,KCHO,0,0,0,0,0
2025-12-13,13,2025-12-13 0:53,0:53,EST,Calm,10,Fair,CLR,24.1,19.9,84,,,30.12,1020.3,0,0,0,2025-12-16,12,2025,0,KCHO,0,0,0,0,0
2025-12-13,13,2025-12-13 1:53,1:53,EST,SW  5,10,Fair,CLR,28,23,81,24,,30.11,1019.9,0,0,0,2025-12-16,12,2025,1,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 2:53,2:53,EST,S  5,10,Overcast,OVC060,28.9,24.1,82,25,,30.1,1019.6,0,0,0,2025-12-16,12,2025,2,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 3:53,3:53,EST,SW  5,10,Mostly Cloudy,BKN060,27,23,85,22,,30.09,1019.3,0,0,0,2025-12-16,12,2025,3,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 4:53,4:53,EST,S  7,10,Overcast,OVC060,28,24.1,85,22,,30.08,1019,0,0,0,2025-12-16,12,2025,4,KCHO,0,0,0,0,7
2025-12-13,13,2025-12-13 5:53,5:53,EST,SW  5,10,Fair,CLR,28.9,25,85,25,,30.09,1019.4,0,0,0,2025-12-16,12,2025,5,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 6:53,6:53,EST,S  7,10,Partly Cloudy,SCT040,27,24.1,89,20,,30.08,1019.2,0,0,0,2025-12-16,12,2025,6,KCHO,0,0,0,0,7
2025-12-13,13,2025-12-13 7:53,7:53,EST,SW  7,10,Fair,CLR,30,26.1,85,24,,30.08,1019.1,0,0,0,2025-12-16,12,2025,7,KCHO,0,0,0,0,7
2025-12-13,13,2025-12-13 8:53,8:53,EST,S  5,10,Fair,CLR,32,28,85,28,,30.09,1019.4,0,0,0,2025-12-16,12,2025,8,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 9:53,9:53,EST,S  8,10,Fair,CLR,36,28.9,76,30,,30.1,1019.6,0,0,0,2025-12-16,12,2025,9,KCHO,0,0,0,0,8
2025-12-13,13,2025-12-13 10:53,10:53,EST,S  7,10,Fair,CLR,41,28.9,62,37,,30.09,1019.5,0,0,0,2025-12-16,12,2025,10,KCHO,0,0,0,0,7
2025-12-13,13,2025-12-13 11:53,11:53,EST,S  9,10,Fair,CLR,46,30,54,42,,30.05,1017.9,0,0,0,2025-12-16,12,2025,11,KCHO,0,0,0,0,9
2025-12-13,13,2025-12-13 12:53,12:53,EST,S  14,10,Fair,CLR,43,28.9,58,37,,30.01,1016.6,0,0,0,2025-12-16,12,2025,12,KCHO,0,0,0,0,14
2025-12-13,13,2025-12-13 13:53,13:53,EST,S  10,10,Fair,CLR,45,30,56,40,,29.99,1015.7,0,0,0,2025-12-16,12,2025,13,KCHO,0,0,0,0,10
2025-12-13,13,2025-12-13 14:53,14:53,EST,S  9,10,Fair,CLR,45,30.9,58,41,,29.96,1014.8,0,0,0,2025-12-16,12,2025,14,KCHO,0,0,0,0,9
2025-12-13,13,2025-12-13 15:53,15:53,EST,S  6,10,Fair,CLR,45,30.9,58,42,,29.98,1015.4,0,0,0,2025-12-16,12,2025,15,KCHO,0,0,0,0,6
2025-12-13,13,2025-12-13 16:53,16:53,EST,SW  3,10,Fair,CLR,44.1,30,58,,,29.99,1015.8,0,0,0,2025-12-16,12,2025,16,KCHO,0,0,0,0,3
2025-12-13,13,2025-12-13 17:53,17:53,EST,S  5,10,Fair,CLR,43,30.9,63,41,,30,1016.1,0,0,0,2025-12-16,12,2025,17,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 18:53,18:53,EST,SW  5,10,Fair,CLR,43,30,60,41,,30,1016.2,0,0,0,2025-12-16,12,2025,18,KCHO,0,0,0,0,5
2025-12-13,13,2025-12-13 19:53,19:53,EST,Calm,10,Fair,CLR,45,28.9,54,,,30,1016,0,0,0,2025-12-16,12,2025,19,KCHO,0,0,0,0,0
2025-12-13,13,2025-12-13 20:53,20:53,EST,NE  3,10,Fair,CLR,39.9,30,68,,,29.99,1015.6,0,0,0,2025-12-16,12,2025,20,KCHO,0,0,0,0,3
2025-12-13,13,2025-12-13 21:53,21:53,EST,NE  9,10,Fair,CLR,39,28.9,67,33,,29.98,1015.4,0,0,0,2025-12-16,12,2025,21,KCHO,0,0,0,0,9
2025-12-13,13,2025-12-13 22:53,22:53,EST,NE  8,10,Mostly Cloudy,BKN070,37.9,28.9,70,33,,29.98,1015.3,0,0,0,2025-12-16,12,2025,22,KCHO,0,0,0,0,8
2025-12-13,13,2025-12-13 23:53,23:53,EST,N  7,10,Fair,CLR,37,28,70,32,,29.95,1014.2,0,0,0,2025-12-16,12,2025,23,KCHO,0,0,0,0,7
2025-12-14,14,2025-12-14 0:53,0:53,EST,NE  7,10,Overcast,FEW060 OVC075,37,28,70,32,,29.94,1014.1,0,0,0,2025-12-17,12,2025,0,KCHO,0,0,0,0,7
2025-12-14,14,2025-12-14 1:53,1:53,EST,NE  8,10,Overcast,FEW055 OVC065,37.9,27,65,33,,29.92,1013.4,0,0,0,2025-12-17,12,2025,1,KCHO,0,0,0,0,8
2025-12-14,14,2025-12-14 2:53,2:53,EST,NE  8,10,Overcast,BKN050 OVC060,37,27,67,32,,29.92,1013.2,0,0,0,2025-12-17,12,2025,2,KCHO,0,0,0,0,8
2025-12-14,14,2025-12-14 3:53,3:53,EST,NE  8,10,Overcast,OVC060,37,28,70,32,,29.92,1013.5,0,0,0,2025-12-17,12,2025,3,KCHO,0,0,0,0,8
2025-12-14,14,2025-12-14 4:53,4:53,EST,NE  7,5,Light Snow Fog/Mist,BKN023 OVC027,34,30,85,29,,29.93,1013.6,0,0,0,2025-12-17,12,2025,4,KCHO,0,0,0,0,7
